id,gene,description
cg00230368,IGF2R,insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]
cg00436301,NT5DC1,5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556]
cg00648153,SLC17A5,solute carrier family 17 member 5 [Source:HGNC Symbol;Acc:HGNC:10933]
cg00830393,LRIG1,leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]
cg01346152,DHRS3,dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]
cg01892689,PGCP,NA
cg02275294,SOAT1,sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]
cg04631202,MAN1C1,mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080]
cg05868799,NCOA2,nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:7669]
cg06734962,CEBPD,CCAAT/enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]
cg07038400,PPP2R3A,protein phosphatase 2 regulatory subunit B''alpha [Source:HGNC Symbol;Acc:HGNC:9307]
cg07293947,SFXN1,sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085]
cg09049660,PANK2,pantothenate kinase 2 [Source:HGNC Symbol;Acc:HGNC:15894]
cg09155852,MAPKAP1,mitogen-activated protein kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18752]
cg09892131,ZBTB9,zinc finger and BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28323]
cg10057295,STK24,serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]
cg10911877,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]
cg12620111,ZNF70,zinc finger protein 70 [Source:HGNC Symbol;Acc:HGNC:13140]
cg13382694,ZNF652,zinc finger protein 652 [Source:HGNC Symbol;Acc:HGNC:29147]
cg16019273,EIF2C4,NA
cg16393207,GDPD5,glycerophosphodiester phosphodiesterase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28804]
cg17834443,INTS10,integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]
cg18062196,DHX40,DEAH-box helicase 40 [Source:HGNC Symbol;Acc:HGNC:18018]
cg18804206,FLII,FLII, actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]
cg19723775,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1 [Source:HGNC Symbol;Acc:HGNC:5041]
cg21468416,NEK6,NIMA related kinase 6 [Source:HGNC Symbol;Acc:HGNC:7749]
cg23435746,TWSG1,twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]
cg23575320,FLVCR2,feline leukemia virus subgroup C cellular receptor family member 2 [Source:HGNC Symbol;Acc:HGNC:20105]
cg24454143,FLT3,fms related tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]
