id,gene,description
cg00524288,UPP1,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]
cg00689340,RTKN,rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]
cg00893242,SND1,staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]
cg00997424,PI4K2A,phosphatidylinositol 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:30031]
cg01385430,VPS45,vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
cg01684579,NOP16,NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]
cg02428100,KEAP1,kelch like ECH associated protein 1 [Source:HGNC Symbol;Acc:HGNC:23177]
cg03712038,ZNF160,zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]
cg04803153,ZNF790,zinc finger protein 790 [Source:HGNC Symbol;Acc:HGNC:33114]
cg06738602,PTGER2,prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]
cg07440387,SFRS6,NA
cg07557424,C9orf23,NA
cg08169325,STX2,syntaxin 2 [Source:HGNC Symbol;Acc:HGNC:3403]
cg08998501,ZNF615,zinc finger protein 615 [Source:HGNC Symbol;Acc:HGNC:24740]
cg09114799,RAPGEF3,Rap guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:16629]
cg10061117,SORL1,sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]
cg10488637,ZNF180,zinc finger protein 180 [Source:HGNC Symbol;Acc:HGNC:12970]
cg10864501,POLDIP3,DNA polymerase delta interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:23782]
cg12618251,FZD7,frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]
cg13022174,SS18,SS18, nBAF chromatin remodeling complex subunit [Source:HGNC Symbol;Acc:HGNC:11340]
cg13391638,TMEM168,transmembrane protein 168 [Source:HGNC Symbol;Acc:HGNC:25826]
cg13518195,NUDT16,nudix hydrolase 16 [Source:HGNC Symbol;Acc:HGNC:26442]
cg15120942,PLCD1,phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]
cg16474696,MRI1,methylthioribose-1-phosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:28469]
cg19348001,PFKFB4,6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]
cg19881895,SLC43A3,solute carrier family 43 member 3 [Source:HGNC Symbol;Acc:HGNC:17466]
cg20240860,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989]
cg20372689,RCN2,reticulocalbin 2 [Source:HGNC Symbol;Acc:HGNC:9935]
cg20468883,BNIP2,BCL2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1083]
cg20684549,LPPR3,NA
cg21746887,FZD1,frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]
cg22253036,DDX6,DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]
cg22689690,ADCY6,adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]
cg24115571,FZD6,frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]
cg24642820,NUP210,nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]
cg26869604,LRRC20,leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]
