id,gene,description
cg00954566,SCD,stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]
cg01025762,DLD,dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]
cg01493517,IFFO1,intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]
cg01550148,H2AFY,H2A histone family member Y [Source:HGNC Symbol;Acc:HGNC:4740]
cg02507175,PKNOX1,PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022]
cg02641095,LSM11,LSM11, U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:30860]
cg03042149,PDE8A,phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]
cg03063797,SAV1,salvador family WW domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:17795]
cg03876622,CSDA,NA
cg03973663,LYN,LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]
cg04347447,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]
cg04384398,PMM1,phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]
cg05879919,ANKRD9,ankyrin repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20096]
cg05949660,MICAL1,microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20619]
cg06253072,C6orf125,NA
cg06282059,UBE2E1,ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]
cg06716436,S1PR2,sphingosine-1-phosphate receptor 2 [Source:HGNC Symbol;Acc:HGNC:3169]
cg06781209,FADS2,fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]
cg06806080,CD47,CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]
cg06973760,NFATC1,nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]
cg08383063,RB1,RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]
cg08828036,ATP10A,ATPase phospholipid transporting 10A (putative) [Source:HGNC Symbol;Acc:HGNC:13542]
cg08924430,TET2,tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]
cg09239756,CKAP4,cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]
cg09514188,TOB1,transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]
cg10028071,COMMD3,COMM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23332]
cg10150813,SEL1L3,SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]
cg10844844,KCNK5,potassium two pore domain channel subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:6280]
cg10970409,VIPR1,vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]
cg12167239,SLC25A1,solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]
cg12592716,CUL1,cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]
cg13612524,ERLIN2,ER lipid raft associated 2 [Source:HGNC Symbol;Acc:HGNC:1356]
cg14009312,STK11,serine/threonine kinase 11 [Source:HGNC Symbol;Acc:HGNC:11389]
cg14070162,PTRF,NA
cg14076411,RNGTT,RNA guanylyltransferase and 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:10073]
cg14289985,ZNF471,zinc finger protein 471 [Source:HGNC Symbol;Acc:HGNC:23226]
cg14540150,CTBP2,C-terminal binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2495]
cg14658362,RBPMS,RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]
cg14808739,SREBF1,sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]
cg15321211,HNRNPF,heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]
cg15528736,FCGRT,Fc fragment of IgG receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]
cg15537850,NAPRT1,NA
cg15683488,ZFYVE9,zinc finger FYVE-type containing 9 [Source:HGNC Symbol;Acc:HGNC:6775]
cg15879316,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]
cg15974062,COPS7A,COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:HGNC:16758]
cg16998353,TRIM3,tripartite motif containing 3 [Source:HGNC Symbol;Acc:HGNC:10064]
cg17054360,MTERF,NA
cg17122244,SAPS2,NA
cg17711870,WWP1,WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]
cg17851105,UNKL,unkempt family like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]
cg17886959,MT2A,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
cg18234011,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]
cg18250832,NMUR1,neuromedin U receptor 1 [Source:HGNC Symbol;Acc:HGNC:4518]
cg18275051,CYB5R1,cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]
cg18503260,CA13,carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]
cg18568653,SERGEF,secretion regulating guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:17499]
cg19021732,C15orf29,NA
cg19091474,NEO1,neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]
cg19149125,PROSC,NA
cg19187185,RRAGD,Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]
cg19280776,PAG1,phosphoprotein membrane anchor with glycosphingolipid microdomains 1 [Source:HGNC Symbol;Acc:HGNC:30043]
cg19464016,PRDM1,PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]
cg19596653,WAPAL,NA
cg19764555,AHNAK,AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]
cg20131596,PAM,peptidylglycine alpha-amidating monooxygenase [Source:HGNC Symbol;Acc:HGNC:8596]
cg21279955,SLC27A3,solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]
cg21341271,C7orf36,NA
