id,gene,description
cg00853068,FMNL1,formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]
cg02930996,B4GALT6,beta-1,4-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:929]
cg02962602,CCDC57,coiled-coil domain containing 57 [Source:HGNC Symbol;Acc:HGNC:27564]
cg06409153,ABCA5,ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]
cg06466797,HERPUD2,HERPUD family member 2 [Source:HGNC Symbol;Acc:HGNC:21915]
cg09531892,LRP12,LDL receptor related protein 12 [Source:HGNC Symbol;Acc:HGNC:31708]
cg09658342,TIA1,TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]
cg10482024,AK3L1,NA
cg11072113,VWCE,von Willebrand factor C and EGF domains [Source:HGNC Symbol;Acc:HGNC:26487]
cg12232274,LRP11,LDL receptor related protein 11 [Source:HGNC Symbol;Acc:HGNC:16936]
cg13277939,CTAGE5,CTAGE family member 5, ER export factor [Source:HGNC Symbol;Acc:HGNC:7057]
cg13325529,TMEM107,transmembrane protein 107 [Source:HGNC Symbol;Acc:HGNC:28128]
cg13676215,AHR,aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]
cg13682722,C14orf102,NA
cg13849825,CCNB1,cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]
cg14315198,UNC119,unc-119 lipid binding chaperone [Source:HGNC Symbol;Acc:HGNC:12565]
cg14672994,ACSF2,acyl-CoA synthetase family member 2 [Source:HGNC Symbol;Acc:HGNC:26101]
cg14759043,EFCAB4B,NA
cg15774495,GRB10,growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]
cg15823100,PISD,phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]
cg15983520,GPT,glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552]
cg19008809,SFMBT1,Scm like with four mbt domains 1 [Source:HGNC Symbol;Acc:HGNC:20255]
cg19192120,SSH3,slingshot protein phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:30581]
cg20234170,CAT,catalase [Source:HGNC Symbol;Acc:HGNC:1516]
cg20318748,NANP,N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]
cg21123509,POLD2,DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]
cg22125922,ZNF337,zinc finger protein 337 [Source:HGNC Symbol;Acc:HGNC:15809]
cg25167447,NAV1,neuron navigator 1 [Source:HGNC Symbol;Acc:HGNC:15989]
cg26179948,JAZF1,JAZF zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:28917]
cg26968812,TPM4,tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]
cg26979339,RIC8B,RIC8 guanine nucleotide exchange factor B [Source:HGNC Symbol;Acc:HGNC:25555]
