id,gene,description
cg00015121,THTPA,thiamine triphosphatase [Source:HGNC Symbol;Acc:HGNC:18987]
cg00296189,CHRAC1,chromatin accessibility complex 1 [Source:HGNC Symbol;Acc:HGNC:13544]
cg00303876,HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:HGNC:5034]
cg00367327,PARVB,parvin beta [Source:HGNC Symbol;Acc:HGNC:14653]
cg00461022,FAM134B,NA
cg00470794,CHFR,checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]
cg00532474,PSTPIP2,proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9581]
cg00662122,LRP12,LDL receptor related protein 12 [Source:HGNC Symbol;Acc:HGNC:31708]
cg00690082,STAT5A,signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]
cg00830526,NUDT19,nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]
cg00833394,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2 [Source:HGNC Symbol;Acc:HGNC:30279]
cg00929376,RUNX3,runt related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]
cg01001468,MAF,MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]
cg01010839,NET1,neuroepithelial cell transforming 1 [Source:HGNC Symbol;Acc:HGNC:14592]
cg01107185,ZC3HAV1,zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]
cg01144764,C10orf119,NA
cg01245656,ASNS,asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]
cg01273344,ZNF69,zinc finger protein 69 [Source:HGNC Symbol;Acc:HGNC:13138]
cg01340312,TUBB,tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]
cg01369341,ROGDI,rogdi homolog [Source:HGNC Symbol;Acc:HGNC:29478]
cg01378158,PLEKHG4,pleckstrin homology and RhoGEF domain containing G4 [Source:HGNC Symbol;Acc:HGNC:24501]
cg01411142,INTS10,integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]
cg01550148,H2AFY,H2A histone family member Y [Source:HGNC Symbol;Acc:HGNC:4740]
cg01849970,FCHSD1,FCH and double SH3 domains 1 [Source:HGNC Symbol;Acc:HGNC:25463]
cg01881939,ACTG1,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]
cg01941586,PPIE,peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258]
cg01978549,PRRG4,proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]
cg02102829,CTBP2,C-terminal binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2495]
cg02204205,GRB10,growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]
cg02326796,NIPA1,non imprinted in Prader-Willi/Angelman syndrome 1 [Source:HGNC Symbol;Acc:HGNC:17043]
cg02358630,PPA1,pyrophosphatase (inorganic) 1 [Source:HGNC Symbol;Acc:HGNC:9226]
cg02490034,MEST,mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]
cg02564523,ORAI2,ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:HGNC:21667]
cg02610689,FAM86A,NA
cg02631906,PRDX1,peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]
cg02774856,HOMER3,homer scaffolding protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]
cg02838499,MPND,MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]
cg03024536,RFTN1,raftlin, lipid raft linker 1 [Source:HGNC Symbol;Acc:HGNC:30278]
cg03046705,C5orf56,chromosome 5 open reading frame 56 [Source:HGNC Symbol;Acc:HGNC:33838]
cg03233656,SLC1A4,solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]
cg03489712,ZYX,zyxin [Source:HGNC Symbol;Acc:HGNC:13200]
cg03805410,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]
cg03868770,RNF215,ring finger protein 215 [Source:HGNC Symbol;Acc:HGNC:33434]
cg03870138,CYBA,cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]
cg04154290,LRP8,LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]
cg04203758,NETO2,neuropilin and tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:14644]
cg04249754,LCK,LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]
cg04375036,PPP1CC,protein phosphatase 1 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9283]
cg04487659,SH3D20,NA
cg04496106,DHX8,DEAH-box helicase 8 [Source:HGNC Symbol;Acc:HGNC:2749]
cg04663564,AKR1B1,aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]
cg04682133,USP24,ubiquitin specific peptidase 24 [Source:HGNC Symbol;Acc:HGNC:12623]
cg04889181,TACC1,transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]
cg04904530,ALKBH5,alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]
cg04914562,INADL,NA
cg05019311,CHRNE,cholinergic receptor nicotinic epsilon subunit [Source:HGNC Symbol;Acc:HGNC:1966]
cg05038268,KDM2A,lysine demethylase 2A [Source:HGNC Symbol;Acc:HGNC:13606]
cg05050341,ENG,endoglin [Source:HGNC Symbol;Acc:HGNC:3349]
cg05295236,PAOX,polyamine oxidase [Source:HGNC Symbol;Acc:HGNC:20837]
cg05309948,ASCL2,achaete-scute family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:739]
cg05318777,BBS7,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758]
cg05398095,YOD1,YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035]
cg05485853,CDC42BPG,CDC42 binding protein kinase gamma [Source:HGNC Symbol;Acc:HGNC:29829]
cg05504194,ACAT2,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]
cg05549854,ZNF629,zinc finger protein 629 [Source:HGNC Symbol;Acc:HGNC:29008]
cg06362985,RAB3IP,RAB3A interacting protein [Source:HGNC Symbol;Acc:HGNC:16508]
cg06685319,TBC1D9,TBC1 domain family member 9 [Source:HGNC Symbol;Acc:HGNC:21710]
cg06713297,EXO1,exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]
cg06781209,FADS2,fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]
cg07335405,RPS19BP1,ribosomal protein S19 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:28749]
cg07405126,GNAI2,G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]
cg07775501,JOSD2,Josephin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28853]
cg07822362,DDX23,DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]
cg07915542,IDH1,isocitrate dehydrogenase (NADP(+)) 1, cytosolic [Source:HGNC Symbol;Acc:HGNC:5382]
cg08145723,ST14,suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]
cg08314408,SEPHS2,selenophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:19686]
cg08363339,SLMO2,NA
cg08551725,SCRN1,secernin 1 [Source:HGNC Symbol;Acc:HGNC:22192]
