id,gene,description
cg00085416,STAU2,staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11371]
cg00157962,FAM102B,family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637]
cg00479101,PSEN2,presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]
cg00501711,PABPC1L,poly(A) binding protein cytoplasmic 1 like [Source:HGNC Symbol;Acc:HGNC:15797]
cg00648153,SLC17A5,solute carrier family 17 member 5 [Source:HGNC Symbol;Acc:HGNC:10933]
cg00683654,PLEKHF1,pleckstrin homology and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20764]
cg00871371,SEPT9,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]
cg00978698,ZNF394,zinc finger protein 394 [Source:HGNC Symbol;Acc:HGNC:18832]
cg01148741,DUSP2,dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]
cg01194538,CYB5R3,cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]
cg01220469,RNF26,ring finger protein 26 [Source:HGNC Symbol;Acc:HGNC:14646]
cg01294490,FKBP5,FK506 binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3721]
cg01333131,CDC42BPB,CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738]
cg01385430,VPS45,vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
cg01944288,NTNG2,netrin G2 [Source:HGNC Symbol;Acc:HGNC:14288]
cg02614016,MINPP1,multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]
cg02696790,RPP25,ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]
cg03106958,BAHCC1,BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279]
cg03607117,SFMBT1,Scm like with four mbt domains 1 [Source:HGNC Symbol;Acc:HGNC:20255]
cg03801030,APBB1,amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]
cg03876622,CSDA,NA
cg04940109,BMPR2,bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]
cg04985396,NEGR1,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]
cg05081497,RASSF2,Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]
cg05934259,SGPP1,sphingosine-1-phosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:17720]
cg05938285,PIGZ,phosphatidylinositol glycan anchor biosynthesis class Z [Source:HGNC Symbol;Acc:HGNC:30596]
cg06060338,TCEB1,NA
cg08672999,ZNF836,zinc finger protein 836 [Source:HGNC Symbol;Acc:HGNC:34333]
cg08890828,C5orf30,chromosome 5 open reading frame 30 [Source:HGNC Symbol;Acc:HGNC:25052]
cg09159285,KLHL21,kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]
cg09820729,MFN2,mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]
cg09936037,TCEB2,NA
cg10598034,ZNF701,zinc finger protein 701 [Source:HGNC Symbol;Acc:HGNC:25597]
cg10694761,FAM86B1,family with sequence similarity 86 member B1 [Source:HGNC Symbol;Acc:HGNC:28268]
cg11736500,EIF4A1,eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]
cg11968366,H1F0,H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714]
cg12167239,SLC25A1,solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]
cg12327405,GNAL,G protein subunit alpha L [Source:HGNC Symbol;Acc:HGNC:4388]
cg12486308,LTBP4,latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717]
cg12604162,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]
cg13443953,NECAP1,NECAP endocytosis associated 1 [Source:HGNC Symbol;Acc:HGNC:24539]
cg14607011,C10orf125,NA
cg17633033,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]
cg18177616,IRAK3,interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020]
cg18688013,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]
cg19040620,MTMR4,myotubularin related protein 4 [Source:HGNC Symbol;Acc:HGNC:7452]
cg21431091,TMEM9,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
cg23635580,ARL4D,ADP ribosylation factor like GTPase 4D [Source:HGNC Symbol;Acc:HGNC:656]
cg26504915,CARM1,coactivator associated arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23393]
cg26724450,GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]
cg27270218,EIF6,eukaryotic translation initiation factor 6 [Source:HGNC Symbol;Acc:HGNC:6159]
