id,gene,description
cg00840516,HYAL2,hyaluronoglucosaminidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]
cg01434121,SLC37A4,solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]
cg01970791,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]
cg02169113,HNRNPF,heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]
cg02329767,STARD4,StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]
cg02362506,C4orf52,NA
cg02430102,CLP1,cleavage and polyadenylation factor I subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]
cg03389525,RBPMS,RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]
cg03523744,PJA2,praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]
cg05636131,ZNF398,zinc finger protein 398 [Source:HGNC Symbol;Acc:HGNC:18373]
cg07270175,NOC3L,NOC3 like DNA replication regulator [Source:HGNC Symbol;Acc:HGNC:24034]
cg07960944,LDLR,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]
cg08288130,DOK2,docking protein 2 [Source:HGNC Symbol;Acc:HGNC:2991]
cg08361238,PTGFRN,prostaglandin F2 receptor inhibitor [Source:HGNC Symbol;Acc:HGNC:9601]
cg10015871,KCNH3,potassium voltage-gated channel subfamily H member 3 [Source:HGNC Symbol;Acc:HGNC:6252]
cg10190808,RPS14,ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]
cg10505415,OLFML2B,olfactomedin like 2B [Source:HGNC Symbol;Acc:HGNC:24558]
cg11648968,DDAH1,dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]
cg15829663,DGKA,diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]
cg18748686,TIMM44,translocase of inner mitochondrial membrane 44 [Source:HGNC Symbol;Acc:HGNC:17316]
cg20820997,IKZF2,IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]
cg23913947,ZNF678,zinc finger protein 678 [Source:HGNC Symbol;Acc:HGNC:28652]
