id,gene,description
cg00023464,CARKD,NA
cg00043371,COG1,component of oligomeric golgi complex 1 [Source:HGNC Symbol;Acc:HGNC:6545]
cg00161459,FZD6,frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]
cg00466249,SLC38A10,solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]
cg00610000,VRK2,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]
cg00622682,FBXO7,F-box protein 7 [Source:HGNC Symbol;Acc:HGNC:13586]
cg01015416,PTPN12,protein tyrosine phosphatase, non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]
cg01029627,LRRK1,leucine rich repeat kinase 1 [Source:HGNC Symbol;Acc:HGNC:18608]
cg01128109,LRRC8B,leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]
cg01206410,NID1,nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]
cg01942719,MIIP,migration and invasion inhibitory protein [Source:HGNC Symbol;Acc:HGNC:25715]
cg02042710,FAM19A2,family with sequence similarity 19 member A2, C-C motif chemokine like [Source:HGNC Symbol;Acc:HGNC:21589]
cg02071712,NT5DC3,5'-nucleotidase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30826]
cg02083989,GNS,glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]
cg02249390,LTB,lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]
cg02438054,FEM1A,fem-1 homolog A [Source:HGNC Symbol;Acc:HGNC:16934]
cg02564313,ABAT,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]
cg02632015,ALDH3A2,aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]
cg02892925,TOX,thymocyte selection associated high mobility group box [Source:HGNC Symbol;Acc:HGNC:18988]
cg03173570,SOD1,superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]
cg03248196,HDAC7,histone deacetylase 7 [Source:HGNC Symbol;Acc:HGNC:14067]
cg03360479,NF2,neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]
cg03429689,FAM174B,family with sequence similarity 174 member B [Source:HGNC Symbol;Acc:HGNC:34339]
cg03505866,KIAA0247,NA
cg03550506,DEPDC5,DEP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:18423]
cg03712038,ZNF160,zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]
cg03753297,LRFN3,leucine rich repeat and fibronectin type III domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28370]
cg03843031,UBE2C,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
cg04186657,HLA-F,major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]
cg04290171,CD46,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]
cg04336836,HDGFRP3,NA
cg04391064,BLVRA,biliverdin reductase A [Source:HGNC Symbol;Acc:HGNC:1062]
cg04522604,C5orf13,NA
cg04802826,KIF3B,kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]
cg04864179,IRF5,interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]
cg04880195,ENAH,ENAH, actin regulator [Source:HGNC Symbol;Acc:HGNC:18271]
cg05110225,SUMF2,sulfatase modifying factor 2 [Source:HGNC Symbol;Acc:HGNC:20415]
cg05412990,WDR35,WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]
cg05432003,IFITM1,interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]
cg05896524,C21orf56,NA
cg05962325,ACAT1,acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]
cg06100291,CLSPN,claspin [Source:HGNC Symbol;Acc:HGNC:19715]
cg06156034,HNRPLL,NA
cg06296570,FLJ43663,NA
cg06464111,TIAM1,T cell lymphoma invasion and metastasis 1 [Source:HGNC Symbol;Acc:HGNC:11805]
cg06705834,DUSP6,dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]
cg07025471,GPBP1,GC-rich promoter binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29520]
cg07336097,NFKBIL2,NA
cg07368443,PLK3,polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]
cg07537734,PDGFC,platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]
cg07557790,CAND2,cullin associated and neddylation dissociated 2 (putative) [Source:HGNC Symbol;Acc:HGNC:30689]
cg07851243,MXRA7,matrix remodeling associated 7 [Source:HGNC Symbol;Acc:HGNC:7541]
cg07935287,WDR7,WD repeat domain 7 [Source:HGNC Symbol;Acc:HGNC:13490]
cg07957953,GGT7,gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]
cg07987148,TP53RK,TP53 regulating kinase [Source:HGNC Symbol;Acc:HGNC:16197]
cg08106792,S100A6,S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]
cg08675193,DGKG,diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]
cg08691775,NDRG1,N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
cg08782213,SLC25A23,solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375]
cg08873628,KIAA0040,KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]
cg08998501,ZNF615,zinc finger protein 615 [Source:HGNC Symbol;Acc:HGNC:24740]
cg09162751,ZNF800,zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]
cg09875802,VDAC1,voltage dependent anion channel 1 [Source:HGNC Symbol;Acc:HGNC:12669]
cg10715529,MICB,MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]
cg11056045,PPIA,peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]
cg11343072,BAZ2B,bromodomain adjacent to zinc finger domain 2B [Source:HGNC Symbol;Acc:HGNC:963]
cg11438448,SPEF2,sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]
cg11647421,LRRC56,leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]
cg11886358,FLI1,Fli-1 proto-oncogene, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3749]
