id,gene,description
cg00180277,IGF2R,insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]
cg00290974,SBF2,SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]
cg00313795,LOC646762,NA
cg00427296,MYH10,myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]
cg00428492,GTPBP8,GTP binding protein 8 (putative) [Source:HGNC Symbol;Acc:HGNC:25007]
cg00544436,HMGA1,high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]
cg00620452,GPD1L,glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]
cg00704305,ECHDC1,ethylmalonyl-CoA decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:21489]
cg00718036,SGMS2,sphingomyelin synthase 2 [Source:HGNC Symbol;Acc:HGNC:28395]
cg00785170,PHLDA3,pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934]
cg00805360,ADAM8,ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]
cg01016637,SLC2A13,solute carrier family 2 member 13 [Source:HGNC Symbol;Acc:HGNC:15956]
cg01030476,LGALS8,galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]
cg01418527,FSCN1,fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]
cg01457077,TRAF3IP1,TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]
cg01471153,GOLGA8B,golgin A8 family member B [Source:HGNC Symbol;Acc:HGNC:31973]
cg01693305,CAPZB,capping actin protein of muscle Z-line beta subunit [Source:HGNC Symbol;Acc:HGNC:1491]
cg01796438,ATG7,autophagy related 7 [Source:HGNC Symbol;Acc:HGNC:16935]
cg01828661,MST1P2,macrophage stimulating 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:7383]
cg01877937,L3MBTL,NA
cg01963623,USP18,ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]
cg02124724,COL18A1,collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]
cg02130027,CD2AP,CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]
cg02201774,MYADM,myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]
cg02499576,ZNF335,zinc finger protein 335 [Source:HGNC Symbol;Acc:HGNC:15807]
cg02622557,EIF3A,eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]
cg02779467,PRPSAP2,phosphoribosyl pyrophosphate synthetase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:9467]
cg03107405,TSSC1,NA
cg03125765,GATSL3,NA
cg03412618,LOC400931,NA
cg03481509,NEURL1B,neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]
cg03743605,TOR3A,torsin family 3 member A [Source:HGNC Symbol;Acc:HGNC:11997]
cg03973663,LYN,LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]
cg03980304,IL4R,interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]
cg04019128,EIF1B,eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]
cg04547158,ZNF823,zinc finger protein 823 [Source:HGNC Symbol;Acc:HGNC:30936]
cg04581832,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17382]
cg04617786,MAK16,MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]
cg04860852,KIF21B,kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]
cg05308656,ARL4C,ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]
cg05591210,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]
cg06159340,CTF1,cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]
cg06330142,LSR,lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]
cg06376949,IFIT5,interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]
cg06498773,TAX1BP1,Tax1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]
cg06811166,NR4A1,nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]
cg06915165,GABARAPL1,GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]
cg06922305,USP39,ubiquitin specific peptidase 39 [Source:HGNC Symbol;Acc:HGNC:20071]
cg06961876,NUP50,nucleoporin 50 [Source:HGNC Symbol;Acc:HGNC:8065]
cg06969845,HRH2,histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]
cg07151406,PGAM1,phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]
cg07332330,MYO1C,myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]
cg07354253,SLC22A4,solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]
cg07538206,C2CD2,C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]
cg07625129,SPHK1,sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]
cg07665487,EFR3A,EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]
cg07730364,KIAA1614,KIAA1614 [Source:HGNC Symbol;Acc:HGNC:29327]
cg07839457,NLRC5,NLR family CARD domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29933]
cg08057338,KCTD1,potassium channel tetramerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18249]
cg08425760,AGTRAP,angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]
cg08500346,CTSH,cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]
cg08563601,BARD1,BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]
cg09121269,PNMA1,PNMA family member 1 [Source:HGNC Symbol;Acc:HGNC:9158]
cg09280288,EIF4H,eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]
cg09551996,CCND1,cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]
cg09574807,MED7,mediator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:2378]
cg10207787,PPP2R2A,protein phosphatase 2 regulatory subunit Balpha [Source:HGNC Symbol;Acc:HGNC:9304]
cg10776186,NUPL1,NA
cg11012543,ALAS1,5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]
cg11152302,NYNRIN,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]
cg11197418,SUCLG2,succinate-CoA ligase GDP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11450]
cg11666208,VCPIP1,valosin containing protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30897]
cg11753600,RP9,RP9, pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:10288]
