id,gene,description
cg00073771,OAT,ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]
cg00089464,LOC285830,NA
cg01657207,ZNF35,zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]
cg02316506,ZBTB47,zinc finger and BTB domain containing 47 [Source:HGNC Symbol;Acc:HGNC:26955]
cg04463232,MCPH1,microcephalin 1 [Source:HGNC Symbol;Acc:HGNC:6954]
cg06466797,HERPUD2,HERPUD family member 2 [Source:HGNC Symbol;Acc:HGNC:21915]
cg07112131,H2AFJ,H2A histone family member J [Source:HGNC Symbol;Acc:HGNC:14456]
cg08095637,LRRC34,leucine rich repeat containing 34 [Source:HGNC Symbol;Acc:HGNC:28408]
cg08888553,C16orf91,chromosome 16 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:27558]
cg09221314,C3orf64,NA
cg09394600,RABEP1,rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]
cg10683527,NEIL3,nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]
cg13802527,C9orf80,NA
cg13948710,ZNF813,zinc finger protein 813 [Source:HGNC Symbol;Acc:HGNC:33257]
cg14865868,TRIB2,tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]
cg14941149,YIF1B,Yip1 interacting factor homolog B, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:30511]
cg15444566,USP3,ubiquitin specific peptidase 3 [Source:HGNC Symbol;Acc:HGNC:12626]
cg16378421,ABCC5,ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]
cg16615842,SLC35E3,solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]
cg16785077,MX1,MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]
cg17329287,RNF220,ring finger protein 220 [Source:HGNC Symbol;Acc:HGNC:25552]
cg18110535,LPIN2,lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]
cg20724184,EFHA1,NA
cg21500300,BCAT1,branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]
