id,gene,description
cg00063945,TGIF1,TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]
cg00265490,MTDH,metadherin [Source:HGNC Symbol;Acc:HGNC:29608]
cg00423729,SLC36A1,solute carrier family 36 member 1 [Source:HGNC Symbol;Acc:HGNC:18761]
cg00436301,NT5DC1,5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556]
cg00492070,CD47,CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]
cg00620824,HLA-C,major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]
cg01025762,DLD,dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]
cg01210909,TET2,tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]
cg01421119,C1orf97,NA
cg01441359,TPI1,triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]
cg01684579,NOP16,NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]
cg01686115,ATXN1,ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]
cg01697163,SH3BP1,SH3 domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10824]
cg01932632,SPIRE1,spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]
cg01965476,PAK6,p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]
cg02081976,SOAT1,sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]
cg02243630,KIAA0922,NA
cg02428100,KEAP1,kelch like ECH associated protein 1 [Source:HGNC Symbol;Acc:HGNC:23177]
cg03130627,EZR,ezrin [Source:HGNC Symbol;Acc:HGNC:12691]
cg03332970,ESAM,endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]
cg03457142,EIF4E3,eukaryotic translation initiation factor 4E family member 3 [Source:HGNC Symbol;Acc:HGNC:31837]
cg03670132,KIAA1430,NA
cg03950246,NEO1,neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]
cg04391205,C2orf88,chromosome 2 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:28191]
cg04566359,FAM46C,family with sequence similarity 46 member C [Source:HGNC Symbol;Acc:HGNC:24712]
cg05447673,ZNF259,NA
cg05628771,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]
cg05755010,ACP6,acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]
cg05785988,LRRN2,leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914]
cg06419959,NELF,NA
cg06777352,ITPRIPL2,ITPRIP like 2 [Source:HGNC Symbol;Acc:HGNC:27257]
cg06848762,RPS6KA4,ribosomal protein S6 kinase A4 [Source:HGNC Symbol;Acc:HGNC:10433]
cg06932256,GSTM4,glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]
cg06968155,SLC22A5,solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]
cg06992688,OTUB2,OTU deubiquitinase, ubiquitin aldehyde binding 2 [Source:HGNC Symbol;Acc:HGNC:20351]
cg07123170,PSMD6,proteasome 26S subunit, non-ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9564]
cg07421287,KCNA3,potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221]
cg07551364,MAP3K6,mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]
cg07645296,ITPR2,inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]
cg07949597,ZNF75A,zinc finger protein 75a [Source:HGNC Symbol;Acc:HGNC:13146]
cg09467607,FEZ2,fasciculation and elongation protein zeta 2 [Source:HGNC Symbol;Acc:HGNC:3660]
cg09569869,FAM109B,family with sequence similarity 109 member B [Source:HGNC Symbol;Acc:HGNC:27161]
cg09748749,ASL,argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]
cg09831553,LAMA5,laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]
cg10381488,SPATA5L1,spermatogenesis associated 5 like 1 [Source:HGNC Symbol;Acc:HGNC:28762]
cg10871529,CNP,2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]
