id,gene,description
cg00474194,SOCS6,suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]
cg00480856,WASL,Wiskott-Aldrich syndrome like [Source:HGNC Symbol;Acc:HGNC:12735]
cg01153872,HDAC4,histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]
cg01547541,C2orf67,NA
cg03168184,CCDC85C,coiled-coil domain containing 85C [Source:HGNC Symbol;Acc:HGNC:35459]
cg04051458,THBS1,thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]
cg04290162,MPHOSPH6,M-phase phosphoprotein 6 [Source:HGNC Symbol;Acc:HGNC:7214]
cg05675356,SUSD3,sushi domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28391]
cg05928051,C18orf1,NA
cg07102072,FLJ10357,NA
cg08358392,L3MBTL3,L3MBTL3, histone methyl-lysine binding protein [Source:HGNC Symbol;Acc:HGNC:23035]
cg08593229,CD320,CD320 molecule [Source:HGNC Symbol;Acc:HGNC:16692]
cg09336947,KCNQ1,potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]
cg09907170,BCL2L11,BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]
cg10010376,PDE4DIP,phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]
cg10381071,TLE3,transducin like enhancer of split 3 [Source:HGNC Symbol;Acc:HGNC:11839]
cg10430205,GTF2B,general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]
cg11698035,ARMC7,armadillo repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:26168]
cg13612958,MPV17L2,MPV17 mitochondrial inner membrane protein like 2 [Source:HGNC Symbol;Acc:HGNC:28177]
cg17653784,SMAGP,small cell adhesion glycoprotein [Source:HGNC Symbol;Acc:HGNC:26918]
cg19495650,JMJD1C,jumonji domain containing 1C [Source:HGNC Symbol;Acc:HGNC:12313]
