id,gene,description
cg00032852,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]
cg00308159,MN1,MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]
cg00314771,DCUN1D5,defective in cullin neddylation 1 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28409]
cg00419092,RASSF3,Ras association domain family member 3 [Source:HGNC Symbol;Acc:HGNC:14271]
cg00455178,CYP2R1,cytochrome P450 family 2 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:20580]
cg00771653,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]
cg00791905,GFI1,growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237]
cg00819055,UGGT1,UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]
cg00906762,HLTF,helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099]
cg00999623,SLC25A24,solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]
cg01119680,PMM1,phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]
cg01409735,HDAC11,histone deacetylase 11 [Source:HGNC Symbol;Acc:HGNC:19086]
cg01570589,PLEKHO1,pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]
cg01687401,FAM110A,family with sequence similarity 110 member A [Source:HGNC Symbol;Acc:HGNC:16188]
cg01771416,NFKBIZ,NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]
cg01785046,MTERF,NA
cg01825058,SMARCD3,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]
cg02268561,NMT2,N-myristoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7858]
cg02493602,ME3,malic enzyme 3 [Source:HGNC Symbol;Acc:HGNC:6985]
cg02537105,RICH2,NA
cg02630129,NRIP1,nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]
cg02833108,TAF4B,TATA-box binding protein associated factor 4b [Source:HGNC Symbol;Acc:HGNC:11538]
cg02863476,RBBP8,RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]
cg02967706,SRI,sorcin [Source:HGNC Symbol;Acc:HGNC:11292]
cg03005121,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]
cg03340523,SGCB,sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]
cg03608974,ZAK,NA
cg03720887,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]
cg04036329,ULK2,unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]
cg04234238,PSMD7,proteasome 26S subunit, non-ATPase 7 [Source:HGNC Symbol;Acc:HGNC:9565]
cg04552346,TCF7,transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]
cg05108547,TAP2,transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]
cg05465916,LOC284023,NA
