id,gene,description
cg00406338,NPEPL1,aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:16244]
cg00422230,ITGAV,integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]
cg00707741,FARP2,FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]
cg00845942,DPY19L2,dpy-19 like 2 [Source:HGNC Symbol;Acc:HGNC:19414]
cg00876112,MED12L,mediator complex subunit 12 like [Source:HGNC Symbol;Acc:HGNC:16050]
cg00876571,SLC25A19,solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]
cg01159004,B4GALT5,beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]
cg01231381,SESTD1,SEC14 and spectrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18379]
cg01271129,KCNMB3,potassium calcium-activated channel subfamily M regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6287]
cg01664130,DOCK9,dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]
cg01731685,IL17RA,interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]
cg01934790,FBXL16,F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]
cg01986123,ARL4A,ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]
cg02835421,IPO13,importin 13 [Source:HGNC Symbol;Acc:HGNC:16853]
cg02961807,NRXN2,neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]
cg03117949,USP16,ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]
cg04879861,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
cg05777492,C6orf153,NA
cg05879919,ANKRD9,ankyrin repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20096]
cg06618866,TLR2,toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]
cg07000334,ZNF385A,zinc finger protein 385A [Source:HGNC Symbol;Acc:HGNC:17521]
cg07139329,NAV1,neuron navigator 1 [Source:HGNC Symbol;Acc:HGNC:15989]
cg07210205,C16orf62,NA
cg08601574,PYGB,glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723]
cg09502502,PSRC1,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
cg11393995,SERPINB1,serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]
cg11579999,ZNF295,NA
cg13221899,C13orf27,NA
cg13462028,RAB31,RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]
cg13951797,TRAF7,TNF receptor associated factor 7 [Source:HGNC Symbol;Acc:HGNC:20456]
cg16019273,EIF2C4,NA
cg17018527,TM6SF1,transmembrane 6 superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:11860]
cg17090968,SLC38A1,solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]
cg18501026,DOCK3,dedicator of cytokinesis 3 [Source:HGNC Symbol;Acc:HGNC:2989]
cg18701598,LIPA,lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]
cg19339848,MTO1,mitochondrial tRNA translation optimization 1 [Source:HGNC Symbol;Acc:HGNC:19261]
cg22307009,NAPA,NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641]
cg23666930,C21orf91,chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]
cg23859635,MTA3,metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]
cg27641482,GPR124,NA
