id,gene,description
cg00041328,C17orf85,NA
cg00072369,MOCS2,molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193]
cg00101715,FAM55C,NA
cg00128877,MKNK1,MAP kinase interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]
cg00131081,ZNF260,zinc finger protein 260 [Source:HGNC Symbol;Acc:HGNC:13499]
cg00167941,PPFIA1,PTPRF interacting protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:9245]
cg00185336,ABHD11,abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407]
cg00239003,CLPTM1,CLPTM1, transmembrane protein [Source:HGNC Symbol;Acc:HGNC:2087]
cg00252813,GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]
cg00254079,TES,testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]
cg00280345,GPT,glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552]
cg00288824,ATP10A,ATPase phospholipid transporting 10A (putative) [Source:HGNC Symbol;Acc:HGNC:13542]
cg00364956,SLFN13,schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]
cg00405699,ST8SIA4,ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]
cg00428179,ZNF438,zinc finger protein 438 [Source:HGNC Symbol;Acc:HGNC:21029]
cg00470766,PRICKLE1,prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]
cg00472375,ENTPD4,ectonucleoside triphosphate diphosphohydrolase 4 [Source:HGNC Symbol;Acc:HGNC:14573]
cg00496102,MIOS,meiosis regulator for oocyte development [Source:HGNC Symbol;Acc:HGNC:21905]
cg00499819,TPD52L2,tumor protein D52 like 2 [Source:HGNC Symbol;Acc:HGNC:12007]
cg00531750,LRIG1,leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]
cg00542638,C22orf25,NA
cg00558174,ANKH,ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]
cg00565070,PDE4A,phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]
cg00590251,STEAP3,STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]
cg00618542,GLRX3,glutaredoxin 3 [Source:HGNC Symbol;Acc:HGNC:15987]
cg00649500,CDKN3,cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]
cg00683961,SORT1,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]
cg00708060,KLHDC8B,kelch domain containing 8B [Source:HGNC Symbol;Acc:HGNC:28557]
cg00776080,TENC1,NA
cg00776808,BCAP29,B cell receptor associated protein 29 [Source:HGNC Symbol;Acc:HGNC:24131]
cg00784791,FAM86D,NA
cg00804048,EIF5A,eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]
cg00868383,ZNF132,zinc finger protein 132 [Source:HGNC Symbol;Acc:HGNC:12916]
cg00950809,MOBKL2C,NA
cg00955682,PAIP2,poly(A) binding protein interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17970]
cg00969446,ADAP1,ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]
cg00982271,ECE1,endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]
cg00986320,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]
cg01073575,XPO6,exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]
cg01100984,FBXW4,F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]
cg01106145,ANO10,anoctamin 10 [Source:HGNC Symbol;Acc:HGNC:25519]
cg01154930,GAA,glucosidase alpha, acid [Source:HGNC Symbol;Acc:HGNC:4065]
cg01184560,ZSWIM6,zinc finger SWIM-type containing 6 [Source:HGNC Symbol;Acc:HGNC:29316]
cg01196495,HIST1H2AM,histone cluster 1 H2A family member m [Source:HGNC Symbol;Acc:HGNC:4735]
cg01209635,TBXA2R,thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]
cg01244303,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]
cg01250235,WDR91,WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]
cg01268824,ZNF154,zinc finger protein 154 [Source:HGNC Symbol;Acc:HGNC:12939]
cg01293485,HIGD1A,HIG1 hypoxia inducible domain family member 1A [Source:HGNC Symbol;Acc:HGNC:29527]
cg01434783,SPRY1,sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]
cg01441025,NCALD,neurocalcin delta [Source:HGNC Symbol;Acc:HGNC:7655]
cg01467419,ZNF57,zinc finger protein 57 [Source:HGNC Symbol;Acc:HGNC:13125]
cg01493517,IFFO1,intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]
cg01535726,MSRA,methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377]
cg01560900,OPN3,opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]
cg01565508,PIK3R5,phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]
cg01620569,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]
cg01643320,MRPS24,mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:14510]
cg01715842,ZDHHC7,zinc finger DHHC-type containing 7 [Source:HGNC Symbol;Acc:HGNC:18459]
cg01730857,PUF60,poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042]
cg01763057,ILKAP,ILK associated serine/threonine phosphatase [Source:HGNC Symbol;Acc:HGNC:15566]
cg01782826,RCSD1,RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310]
cg01795562,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:17168]
cg01820777,MICALL2,MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
cg01866064,SEC23B,Sec23 homolog B, coat complex II component [Source:HGNC Symbol;Acc:HGNC:10702]
cg01869219,AP1S3,adaptor related protein complex 1 sigma 3 subunit [Source:HGNC Symbol;Acc:HGNC:18971]
cg01892689,PGCP,NA
cg01928078,IL10RB,interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]
cg02006107,MRPS28,mitochondrial ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:14513]
cg02085838,TRIO,trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]
cg02144516,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]
cg02152034,EMID1,EMI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18036]
cg02161262,BIN1,bridging integrator 1 [Source:HGNC Symbol;Acc:HGNC:1052]
cg02182571,USP53,ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255]
cg02186966,BET1,Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]
cg02190873,PDIA4,protein disulfide isomerase family A member 4 [Source:HGNC Symbol;Acc:HGNC:30167]
cg02219026,ZNF589,zinc finger protein 589 [Source:HGNC Symbol;Acc:HGNC:16747]
cg02264038,RRAS2,RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]
cg02297801,NADK,NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]
cg02311725,HCK,HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]
cg02313172,AKT1,AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]
cg02362686,ADAMTSL4,ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]
cg02367709,LOC651250,NA
cg02371408,VCAN,versican [Source:HGNC Symbol;Acc:HGNC:2464]
cg02400751,RNF169,ring finger protein 169 [Source:HGNC Symbol;Acc:HGNC:26961]
cg02407048,PION,NA
