id,gene,description
cg00255919,IRF1,interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]
cg00306721,BSCL2,BSCL2, seipin lipid droplet biogenesis associated [Source:HGNC Symbol;Acc:HGNC:15832]
cg00822353,DGKE,diacylglycerol kinase epsilon [Source:HGNC Symbol;Acc:HGNC:2852]
cg01056775,CYP4V2,cytochrome P450 family 4 subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:23198]
cg01297479,FAM108C1,NA
cg01316047,LRP3,LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]
cg01354088,KLF11,Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]
cg01373473,NAMPT,nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]
cg01770362,SLC25A37,solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]
cg01834027,EPB41,erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]
cg01960259,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]
cg02150674,PHYH,phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]
cg02625929,HLX,H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]
cg02661372,IER5,immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]
cg03478948,PDSS1,decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]
cg03547523,CAPN5,calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]
cg03631331,C11orf9,NA
cg04235146,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]
cg04269351,VTI1B,vesicle transport through interaction with t-SNAREs 1B [Source:HGNC Symbol;Acc:HGNC:17793]
cg04361126,SLC40A1,solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]
cg04427462,PRKD2,protein kinase D2 [Source:HGNC Symbol;Acc:HGNC:17293]
cg04571130,COPG,NA
cg04811098,INSIG1,insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]
cg05013422,WDR81,WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600]
cg05656486,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]
cg06024236,RHOT1,ras homolog family member T1 [Source:HGNC Symbol;Acc:HGNC:21168]
cg06754987,B4GALT2,beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]
cg06962913,WDR55,WD repeat domain 55 [Source:HGNC Symbol;Acc:HGNC:25971]
cg07737135,MUM1,melanoma associated antigen (mutated) 1 [Source:HGNC Symbol;Acc:HGNC:29641]
cg08381325,ORC4L,NA
cg08583059,C17orf37,NA
cg08814373,VAV2,vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]
cg09026415,TMEM161B,transmembrane protein 161B [Source:HGNC Symbol;Acc:HGNC:28483]
cg09220061,SNTB2,syntrophin beta 2 [Source:HGNC Symbol;Acc:HGNC:11169]
cg09339476,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989]
cg09541256,RUNX2,runt related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10472]
cg09589443,C20orf117,NA
cg10773601,CLEC11A,C-type lectin domain containing 11A [Source:HGNC Symbol;Acc:HGNC:10576]
cg10936230,RAB27A,RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]
