id,gene,description
cg00051068,JAG1,jagged 1 [Source:HGNC Symbol;Acc:HGNC:6188]
cg00056624,CTDSPL,CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]
cg00080081,SLFN11,schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633]
cg00082310,PLD1,phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]
cg00093643,CASC4,cancer susceptibility 4 [Source:HGNC Symbol;Acc:HGNC:24892]
cg00154968,CDK13,cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]
cg00186141,PODXL,podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]
cg00298153,C21orf33,chromosome 21 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:1273]
cg00320027,PABPC1,poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]
cg00394040,IL10RA,interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]
cg00421624,SLC27A3,solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]
cg00461978,MAN2C1,mannosidase alpha class 2C member 1 [Source:HGNC Symbol;Acc:HGNC:6827]
cg00474696,MRPL44,mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]
cg00493327,BAIAP3,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
cg00527653,SGPL1,sphingosine-1-phosphate lyase 1 [Source:HGNC Symbol;Acc:HGNC:10817]
cg00530720,DGKZ,diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]
cg00539174,CTSZ,cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]
cg00560119,STXBP1,syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]
cg00609948,NDFIP1,Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]
cg00660163,MEX3A,mex-3 RNA binding family member A [Source:HGNC Symbol;Acc:HGNC:33482]
cg00705908,ASAH1,N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]
cg00751332,CABLES1,Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:HGNC:25097]
cg00762662,OTUD1,OTU deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:27346]
cg00798876,TTYH3,tweety family member 3 [Source:HGNC Symbol;Acc:HGNC:22222]
cg00852783,UBXN11,UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]
cg00853068,FMNL1,formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]
cg00893242,SND1,staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]
cg00908631,CDKN2C,cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]
cg00955482,ENOSF1,enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365]
cg01044662,C2orf3,NA
cg01059100,PYCARD,PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]
cg01061877,KPTN,kaptin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:6404]
cg01087382,MAP3K7,mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]
cg01105948,FRY,FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]
cg01141645,ASPH,aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]
cg01151821,FBXO32,F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]
cg01177642,NFKB2,nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]
cg01248010,STK25,serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]
cg01281718,SMAP1,small ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:19651]
cg01287476,C2orf65,NA
cg01295600,PSMB8,proteasome subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]
cg01561916,HAAO,3-hydroxyanthranilate 3,4-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4796]
cg01592662,NTAN1,N-terminal asparagine amidase [Source:HGNC Symbol;Acc:HGNC:29909]
cg01604611,ADSL,adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]
cg01689928,PELI1,pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]
cg01720941,PLXNA2,plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]
cg01738638,APLP2,amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]
cg01744217,C20orf108,NA
cg01777397,CLIP4,CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]
cg01845091,ESR2,estrogen receptor 2 [Source:HGNC Symbol;Acc:HGNC:3468]
cg01972009,PITPNM1,phosphatidylinositol transfer protein membrane associated 1 [Source:HGNC Symbol;Acc:HGNC:9003]
cg02067535,LRRC33,NA
cg02067846,PLCD1,phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]
cg02073525,DNAJA4,DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]
cg02105326,HES6,hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]
cg02197938,PSMD12,proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]
cg02203380,C7orf41,NA
cg02216295,ANKRD11,ankyrin repeat domain 11 [Source:HGNC Symbol;Acc:HGNC:21316]
cg02241241,ABCG1,ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]
cg02253552,ZNF248,zinc finger protein 248 [Source:HGNC Symbol;Acc:HGNC:13041]
cg02260839,ZNF765,zinc finger protein 765 [Source:HGNC Symbol;Acc:HGNC:25092]
cg02289127,PREB,prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]
cg02330214,PRDM2,PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]
cg02332500,C5orf43,NA
cg02343275,TMEM206,transmembrane protein 206 [Source:HGNC Symbol;Acc:HGNC:25593]
cg02388999,EPB41L2,erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]
cg02411974,FAR1,fatty acyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:26222]
cg02441090,OXCT1,3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527]
cg02485479,ZNF451,zinc finger protein 451 [Source:HGNC Symbol;Acc:HGNC:21091]
cg02569115,TIMP2,TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]
cg02654291,C9orf64,chromosome 9 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28144]
cg02679955,LLGL2,LLGL2, scribble cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:6629]
cg02690256,PDIA6,protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]
cg02712878,FAIM,Fas apoptotic inhibitory molecule [Source:HGNC Symbol;Acc:HGNC:18703]
cg02835036,PXK,PX domain containing serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:23326]
cg02893482,C20orf194,chromosome 20 open reading frame 194 [Source:HGNC Symbol;Acc:HGNC:17721]
cg02896776,SARS,seryl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:10537]
cg02899960,GLG1,golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]
cg03018058,RHBDD1,rhomboid domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23081]
cg03036452,TTC38,tetratricopeptide repeat domain 38 [Source:HGNC Symbol;Acc:HGNC:26082]
cg03042149,PDE8A,phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]
cg03135598,SEPW1,NA
cg03195667,YPEL2,yippee like 2 [Source:HGNC Symbol;Acc:HGNC:18326]
cg03196381,SELS,NA
cg03208409,UAP1,UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]
