id,gene,description
cg00164898,MAPK11,mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]
cg00230368,IGF2R,insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]
cg00466249,SLC38A10,solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]
cg00648153,SLC17A5,solute carrier family 17 member 5 [Source:HGNC Symbol;Acc:HGNC:10933]
cg00840516,HYAL2,hyaluronoglucosaminidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]
cg01684579,NOP16,NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]
cg01892689,PGCP,NA
cg01934790,FBXL16,F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]
cg02275294,SOAT1,sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]
cg02654291,C9orf64,chromosome 9 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28144]
cg04126427,EIF3A,eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]
cg05868799,NCOA2,nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:7669]
cg06915165,GABARAPL1,GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]
cg07440387,SFRS6,NA
cg07448460,GGH,gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]
cg08222662,ZC3HAV1,zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]
cg08998501,ZNF615,zinc finger protein 615 [Source:HGNC Symbol;Acc:HGNC:24740]
cg09214920,SLC25A24,solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]
cg09382850,SYPL1,synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]
cg09514188,TOB1,transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]
cg09750385,GUCY1A3,NA
cg09870606,GLG1,golgi glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:4316]
cg09879797,WSB2,WD repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:19222]
cg10523019,RHBDD1,rhomboid domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23081]
cg10970409,VIPR1,vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]
cg11458974,HMOX1,heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]
cg11518240,FKBP4,FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]
cg12914014,USP7,ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]
cg13277939,CTAGE5,CTAGE family member 5, ER export factor [Source:HGNC Symbol;Acc:HGNC:7057]
cg14751914,SMAD7,SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]
cg15120942,PLCD1,phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]
cg16142977,EEF2,eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]
cg16998353,TRIM3,tripartite motif containing 3 [Source:HGNC Symbol;Acc:HGNC:10064]
cg17356733,IFNGR2,interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]
cg18110535,LPIN2,lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]
cg18568653,SERGEF,secretion regulating guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:17499]
cg20185083,SERPINB9,serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]
cg20240860,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989]
cg22689690,ADCY6,adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]
cg23738770,NFKB2,nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]
cg24104611,C22orf9,NA
cg24115571,FZD6,frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]
cg24596472,TOP1MT,DNA topoisomerase I mitochondrial [Source:HGNC Symbol;Acc:HGNC:29787]
cg25167447,NAV1,neuron navigator 1 [Source:HGNC Symbol;Acc:HGNC:15989]
