id,gene,description
cg00830393,LRIG1,leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]
cg03005261,CCDC109B,NA
cg03712038,ZNF160,zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]
cg05318777,BBS7,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758]
cg05949660,MICAL1,microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20619]
cg08924430,TET2,tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]
cg14070162,PTRF,NA
cg14380517,BTG3,BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]
cg15713086,C20orf108,NA
cg17711870,WWP1,WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]
cg17834443,INTS10,integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]
cg24968336,KCNK6,potassium two pore domain channel subfamily K member 6 [Source:HGNC Symbol;Acc:HGNC:6281]
cg25355803,MARVELD1,MARVEL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28674]
