id,gene,description
cg00436301,NT5DC1,5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556]
cg02490034,MEST,mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]
cg04469686,HSD17B7,hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]
cg07160163,SYK,spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]
cg10057295,STK24,serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]
cg12548454,PSAT1,phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]
cg13490971,NDFIP1,Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]
cg14196790,SLC22A5,solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]
cg18503260,CA13,carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]
cg20708411,CSNK1G3,casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]
