id,gene,description
cg00328227,C1orf59,NA
cg01385430,VPS45,vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
cg03608974,ZAK,NA
cg03887534,BCL2L13,BCL2 like 13 [Source:HGNC Symbol;Acc:HGNC:17164]
cg04424621,HIST1H2BJ,histone cluster 1 H2B family member j [Source:HGNC Symbol;Acc:HGNC:4761]
cg04582938,UAP1L1,UDP-N-acetylglucosamine pyrophosphorylase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28082]
cg05346899,LASS4,NA
cg05795313,ZNF641,zinc finger protein 641 [Source:HGNC Symbol;Acc:HGNC:31834]
cg09086761,MTA2,metastasis associated 1 family member 2 [Source:HGNC Symbol;Acc:HGNC:7411]
cg11263497,WDR35,WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]
cg13682722,C14orf102,NA
cg15537850,NAPRT1,NA
cg15760943,ETV5,ETS variant 5 [Source:HGNC Symbol;Acc:HGNC:3494]
cg15974062,COPS7A,COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:HGNC:16758]
cg19221369,TAF13,TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]
cg24476569,ABCC4,ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]
cg26968812,TPM4,tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]
cg27613076,INPP5F,inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]
