gene,coef,description
ACAA2,-0.102647014615636,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
C19orf51,0.0527893420968846,NA
C2orf18,0.38727863984407,NA
CDHR1,-0.0596090420697829,cadherin related family member 1 [Source:HGNC Symbol;Acc:HGNC:14550]
DERL3,0.0613638584696204,derlin 3 [Source:HGNC Symbol;Acc:HGNC:14236]
DNMT3A,-0.227240555457481,DNA methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978]
EPHX3,-0.0672107850380329,epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760]
FAM127C,-0.124675945812997,NA
FKBP1B,-0.0818660087392716,FK506 binding protein 1B [Source:HGNC Symbol;Acc:HGNC:3712]
PBX1,-0.113844373974599,PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]
RASGEF1A,-0.0433984612415948,RasGEF domain family member 1A [Source:HGNC Symbol;Acc:HGNC:24246]
SLC16A3,-0.0918591437249017,solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]
XPO6,-0.256540894031006,exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]
