gene,coef,description
ACAA2,-0.106584959986355,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
BAIAP3,-0.0639195100395344,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
EVI5L,0.127350156246331,ecotropic viral integration site 5 like [Source:HGNC Symbol;Acc:HGNC:30464]
GRIN2D,-0.0501269928979972,glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]
IQCE,0.0964083378583561,IQ motif containing E [Source:HGNC Symbol;Acc:HGNC:29171]
LOC650368,-0.0958661912131224,NA
PLK1S1,-0.0776481820077089,NA
RAC2,0.211181261535117,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
SPAG4,-0.0512607527864634,sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]
SRF,-0.0314564077229385,serum response factor [Source:HGNC Symbol;Acc:HGNC:11291]
TNNT1,0.0410427445341167,troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]
TTLL12,-0.184399071663821,tubulin tyrosine ligase like 12 [Source:HGNC Symbol;Acc:HGNC:28974]
