id,gene,description
cg00130530,FKBP5,FK506 binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3721]
cg00168835,BATF3,basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]
cg00288824,ATP10A,ATPase phospholipid transporting 10A (putative) [Source:HGNC Symbol;Acc:HGNC:13542]
cg00326908,PDE7A,phosphodiesterase 7A [Source:HGNC Symbol;Acc:HGNC:8791]
cg00801798,KIAA1432,NA
cg01458759,ACY1,aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]
cg01590416,ZNF287,zinc finger protein 287 [Source:HGNC Symbol;Acc:HGNC:13502]
cg01738168,CCNB2,cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]
cg01747547,ACTR3B,ARP3 actin related protein 3 homolog B [Source:HGNC Symbol;Acc:HGNC:17256]
cg01865108,ITPK1,inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]
cg01915196,MBD6,methyl-CpG binding domain protein 6 [Source:HGNC Symbol;Acc:HGNC:20445]
cg02036950,SLC19A1,solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]
cg02094827,ZFYVE27,zinc finger FYVE-type containing 27 [Source:HGNC Symbol;Acc:HGNC:26559]
cg02569115,TIMP2,TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]
cg02639608,GADD45A,growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]
cg02658693,RBPMS2,RNA binding protein, mRNA processing factor 2 [Source:HGNC Symbol;Acc:HGNC:19098]
cg02744588,CCDC114,coiled-coil domain containing 114 [Source:HGNC Symbol;Acc:HGNC:26560]
cg03218146,RUFY3,RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30285]
cg03356087,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]
cg03449406,CFL2,cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]
cg03601354,SORBS3,sorbin and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30907]
cg03648334,MME,membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]
cg03698892,IFT81,intraflagellar transport 81 [Source:HGNC Symbol;Acc:HGNC:14313]
cg03868770,RNF215,ring finger protein 215 [Source:HGNC Symbol;Acc:HGNC:33434]
cg04051458,THBS1,thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]
cg04206329,ZNF785,zinc finger protein 785 [Source:HGNC Symbol;Acc:HGNC:26496]
cg04482760,SECISBP2L,SECIS binding protein 2 like [Source:HGNC Symbol;Acc:HGNC:28997]
cg04482879,DENND4A,DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]
cg04901763,CAB39,calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]
cg05228244,WDR37,WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]
cg05347473,FBXO30,F-box protein 30 [Source:HGNC Symbol;Acc:HGNC:15600]
cg05358404,RTEL1,regulator of telomere elongation helicase 1 [Source:HGNC Symbol;Acc:HGNC:15888]
cg05806233,GNAI1,G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]
cg05806645,PPP1R3B,protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]
cg05856399,ZBTB24,zinc finger and BTB domain containing 24 [Source:HGNC Symbol;Acc:HGNC:21143]
cg05909475,ETV3,ETS variant 3 [Source:HGNC Symbol;Acc:HGNC:3492]
cg06234342,GTF3C6,general transcription factor IIIC subunit 6 [Source:HGNC Symbol;Acc:HGNC:20872]
cg06443583,CFL1,cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]
cg06701500,YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]
cg07037964,C5orf54,NA
cg07730848,MED10,mediator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:28760]
cg07773434,PPP1R14B,protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]
cg08223837,CSNK1D,casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]
cg08224159,AKAP12,A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]
cg08253651,SNRPF,small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:HGNC:11162]
cg08327566,PIK3AP1,phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]
cg08731623,PMP22,peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]
cg08949974,RBM47,RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]
cg09258965,TBC1D7,TBC1 domain family member 7 [Source:HGNC Symbol;Acc:HGNC:21066]
cg10228629,ATAD3B,ATPase family, AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]
cg11512258,SEC24A,SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]
cg12051613,ATRIP,ATR interacting protein [Source:HGNC Symbol;Acc:HGNC:33499]
cg13365375,AHCYL2,adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204]
cg13405161,EIF2C2,NA
cg14151259,ID4,inhibitor of DNA binding 4, HLH protein [Source:HGNC Symbol;Acc:HGNC:5363]
cg14191360,MET,MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]
cg14336578,LETM2,leucine zipper and EF-hand containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:14648]
cg14773826,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]
cg15500320,JUN,Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]
cg15871229,CCDC109A,NA
cg16043990,PPP1R13B,protein phosphatase 1 regulatory subunit 13B [Source:HGNC Symbol;Acc:HGNC:14950]
cg16569014,BCLAF1,BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]
cg17168630,PLAUR,plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]
cg17215438,TTC4,tetratricopeptide repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12394]
cg18639049,CHMP6,charged multivesicular body protein 6 [Source:HGNC Symbol;Acc:HGNC:25675]
cg19995112,CSE1L,chromosome segregation 1 like [Source:HGNC Symbol;Acc:HGNC:2431]
cg20215290,DNM1L,dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]
cg20785715,ZNF623,zinc finger protein 623 [Source:HGNC Symbol;Acc:HGNC:29084]
cg21175642,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]
cg23693487,PPP2CB,protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]
cg26321609,CCDC14,coiled-coil domain containing 14 [Source:HGNC Symbol;Acc:HGNC:25766]
cg26515186,RPS6KA1,ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]
cg26734943,ZKSCAN2,zinc finger with KRAB and SCAN domains 2 [Source:HGNC Symbol;Acc:HGNC:25677]
