id,gene,description
cg00090731,STIM2,stromal interaction molecule 2 [Source:HGNC Symbol;Acc:HGNC:19205]
cg00405699,ST8SIA4,ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]
cg00413099,ID1,inhibitor of DNA binding 1, HLH protein [Source:HGNC Symbol;Acc:HGNC:5360]
cg00684757,PQLC1,PQ loop repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:26188]
cg00880494,HSPA2,heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]
cg01004144,SMEK1,NA
cg01071279,SUPV3L1,Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]
cg01116966,TCF7,transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]
cg01120391,ANO1,anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]
cg01136848,VPRBP,NA
cg01173611,PATL1,PAT1 homolog 1, processing body mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:26721]
cg01225095,YARS2,tyrosyl-tRNA synthetase 2 [Source:HGNC Symbol;Acc:HGNC:24249]
cg01244650,HIST1H2BJ,histone cluster 1 H2B family member j [Source:HGNC Symbol;Acc:HGNC:4761]
cg01396022,CAMK1,calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]
cg01472882,ATOH8,atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]
cg01497501,ZFAND2A,zinc finger AN1-type containing 2A [Source:HGNC Symbol;Acc:HGNC:28073]
cg01773854,IGFBP6,insulin like growth factor binding protein 6 [Source:HGNC Symbol;Acc:HGNC:5475]
cg01779043,METT11D1,NA
cg01866064,SEC23B,Sec23 homolog B, coat complex II component [Source:HGNC Symbol;Acc:HGNC:10702]
cg01883943,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]
cg01892727,CRBN,cereblon [Source:HGNC Symbol;Acc:HGNC:30185]
cg02006107,MRPS28,mitochondrial ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:14513]
cg02173486,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]
cg02203380,C7orf41,NA
cg02343318,ZNF790,zinc finger protein 790 [Source:HGNC Symbol;Acc:HGNC:33114]
cg02712878,FAIM,Fas apoptotic inhibitory molecule [Source:HGNC Symbol;Acc:HGNC:18703]
cg02724047,B3GNT9,UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:28714]
cg02865595,C1orf113,NA
cg02868338,EXOSC4,exosome component 4 [Source:HGNC Symbol;Acc:HGNC:18189]
cg02949544,MYST2,NA
cg03021496,OGFRL1,opioid growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21378]
cg03090436,FAM135A,family with sequence similarity 135 member A [Source:HGNC Symbol;Acc:HGNC:21084]
cg03322971,NEURL4,neuralized E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:34410]
cg03349935,RASL12,RAS like family 12 [Source:HGNC Symbol;Acc:HGNC:30289]
cg03377895,CTSO,cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]
cg03529003,PLOD1,procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]
cg03693762,BACH1,BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]
cg03888365,ZHX2,zinc fingers and homeoboxes 2 [Source:HGNC Symbol;Acc:HGNC:18513]
cg04069951,CD81,CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]
cg04099673,WDR7,WD repeat domain 7 [Source:HGNC Symbol;Acc:HGNC:13490]
cg04108615,CRTC2,CREB regulated transcription coactivator 2 [Source:HGNC Symbol;Acc:HGNC:27301]
cg04293891,ZNF611,zinc finger protein 611 [Source:HGNC Symbol;Acc:HGNC:28766]
cg04608326,RPL11,ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]
cg04672837,N4BP1,NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29850]
cg04800195,ZFP62,ZFP62 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:23241]
cg04823152,FAM172A,family with sequence similarity 172 member A [Source:HGNC Symbol;Acc:HGNC:25365]
cg04947838,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]
cg05219684,UBL5,ubiquitin like 5 [Source:HGNC Symbol;Acc:HGNC:13736]
cg05391486,TMEM9,transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]
cg05478407,TLK2,tousled like kinase 2 [Source:HGNC Symbol;Acc:HGNC:11842]
cg05667817,LRRK2,leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]
cg05756257,SULF2,sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]
cg05852416,NFKBIA,NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]
cg06091566,SAMD11,sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]
cg06362348,TMCO4,transmembrane and coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:27393]
cg06422060,E2F7,E2F transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:23820]
cg06595693,DISP2,dispatched RND transporter family member 2 [Source:HGNC Symbol;Acc:HGNC:19712]
cg06600287,ECHDC2,enoyl-CoA hydratase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23408]
cg07278997,UBE2W,ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]
cg07568141,MRPS18A,mitochondrial ribosomal protein S18A [Source:HGNC Symbol;Acc:HGNC:14515]
cg07576541,SNAPIN,SNAP associated protein [Source:HGNC Symbol;Acc:HGNC:17145]
cg07652350,IRF7,interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]
cg07889201,ZNF343,zinc finger protein 343 [Source:HGNC Symbol;Acc:HGNC:16017]
cg07891971,CHAC1,ChaC glutathione specific gamma-glutamylcyclotransferase 1 [Source:HGNC Symbol;Acc:HGNC:28680]
cg07907917,SERTAD3,SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]
cg08330183,CYFIP1,cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]
cg08408453,PDE2A,phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777]
cg08848324,SP3,Sp3 transcription factor [Source:HGNC Symbol;Acc:HGNC:11208]
cg08911391,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:2728]
cg09059548,PHC1,polyhomeotic homolog 1 [Source:HGNC Symbol;Acc:HGNC:3182]
cg09095562,GTF3C5,general transcription factor IIIC subunit 5 [Source:HGNC Symbol;Acc:HGNC:4668]
cg09184043,ZNF815,NA
cg09188868,PIP4K2C,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]
cg09448951,KIAA0174,NA
cg09572106,PDLIM7,PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]
cg09573809,ZNF497,zinc finger protein 497 [Source:HGNC Symbol;Acc:HGNC:23714]
cg10194655,ANAPC7,anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]
cg10421984,ASXL1,additional sex combs like 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:18318]
cg10606822,ARRB2,arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]
cg10695234,RAD54B,RAD54 homolog B (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:17228]
cg10853556,STT3A,STT3A, catalytic subunit of the oligosaccharyltransferase complex [Source:HGNC Symbol;Acc:HGNC:6172]
cg11154542,CTSL1,NA
cg11285843,TMEM41A,transmembrane protein 41A [Source:HGNC Symbol;Acc:HGNC:30544]
cg11318576,CDC42SE2,CDC42 small effector 2 [Source:HGNC Symbol;Acc:HGNC:18547]
cg11545871,C6orf125,NA
cg11676221,THADA,THADA, armadillo repeat containing [Source:HGNC Symbol;Acc:HGNC:19217]
cg12491765,RAB15,RAB15, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:20150]
cg12524179,CD276,CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137]
cg12616531,ABLIM2,actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195]
cg12825836,MPND,MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]
cg13392052,FAM69A,family with sequence similarity 69 member A [Source:HGNC Symbol;Acc:HGNC:32213]
cg13443953,NECAP1,NECAP endocytosis associated 1 [Source:HGNC Symbol;Acc:HGNC:24539]
cg13824156,SLC2A11,solute carrier family 2 member 11 [Source:HGNC Symbol;Acc:HGNC:14239]
cg13974409,SCYL1,SCY1 like pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:14372]
cg14083890,PPIL2,peptidylprolyl isomerase like 2 [Source:HGNC Symbol;Acc:HGNC:9261]
cg14091631,DNAH14,dynein axonemal heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:2945]
