id,gene,description
cg00088042,PPRC1,peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:HGNC:30025]
cg00091060,ZNF17,zinc finger protein 17 [Source:HGNC Symbol;Acc:HGNC:12958]
cg00116463,B9D1,B9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24123]
cg00154455,ZNF517,zinc finger protein 517 [Source:HGNC Symbol;Acc:HGNC:27984]
cg00156336,FAM176A,NA
cg00171909,SGMS1,sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799]
cg00247748,C3orf19,NA
cg00259887,EBAG9,estrogen receptor binding site associated, antigen, 9 [Source:HGNC Symbol;Acc:HGNC:3123]
cg00296189,CHRAC1,chromatin accessibility complex 1 [Source:HGNC Symbol;Acc:HGNC:13544]
cg00298153,C21orf33,chromosome 21 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:1273]
cg00355802,DUSP4,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]
cg00356811,TNFAIP8L1,TNF alpha induced protein 8 like 1 [Source:HGNC Symbol;Acc:HGNC:28279]
cg00373467,GTF2H4,general transcription factor IIH subunit 4 [Source:HGNC Symbol;Acc:HGNC:4658]
cg00391696,NEAT1,nuclear paraspeckle assembly transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:30815]
cg00429618,ZNF322B,NA
cg00475645,STAU2,staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11371]
cg00477378,RCBTB1,RCC1 and BTB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:18243]
cg00509207,TSPAN11,tetraspanin 11 [Source:HGNC Symbol;Acc:HGNC:30795]
cg00510956,KHDRBS1,KH RNA binding domain containing, signal transduction associated 1 [Source:HGNC Symbol;Acc:HGNC:18116]
cg00524967,RFC3,replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]
cg00537121,ANKRD13D,ankyrin repeat domain 13D [Source:HGNC Symbol;Acc:HGNC:27880]
cg00539360,VEGFA,vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]
cg00586094,LSM2,LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]
cg00588090,PUS1,pseudouridylate synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]
cg00590081,FNDC3A,fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296]
cg00659953,FAM173A,family with sequence similarity 173 member A [Source:HGNC Symbol;Acc:HGNC:14152]
cg00670698,GGCT,gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]
cg00678539,MNS1,meiosis specific nuclear structural 1 [Source:HGNC Symbol;Acc:HGNC:29636]
cg00743929,RASSF1,Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]
cg00774100,MICB,MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]
cg00780666,C14orf179,NA
cg00846400,RBM9,NA
cg00871371,SEPT9,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]
cg00893242,SND1,staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]
cg00939618,KIAA1737,NA
cg01014287,FUBP1,far upstream element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4004]
cg01046673,NF2,neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]
cg01244303,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]
cg01297479,FAM108C1,NA
cg01314034,GTF2IRD1,GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]
cg01341755,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
cg01366338,ALDH4A1,aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]
cg01383753,CLDN23,claudin 23 [Source:HGNC Symbol;Acc:HGNC:17591]
cg01470323,SLC29A2,solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]
cg01508380,MMP14,matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]
