id,gene,description
cg00021527,TAF15,TATA-box binding protein associated factor 15 [Source:HGNC Symbol;Acc:HGNC:11547]
cg00157962,FAM102B,family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637]
cg00200063,USP32,ubiquitin specific peptidase 32 [Source:HGNC Symbol;Acc:HGNC:19143]
cg00205703,FAM131A,family with sequence similarity 131 member A [Source:HGNC Symbol;Acc:HGNC:28308]
cg00215214,TMEM55B,NA
cg00229232,MAP2K3,mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]
cg00229245,DCLK2,doublecortin like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19002]
cg00267054,VPS54,VPS54, GARP complex subunit [Source:HGNC Symbol;Acc:HGNC:18652]
cg00268500,UGP2,UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]
cg00292435,CKS2,CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]
cg00292662,LGALS1,galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]
cg00399059,LYNX1,Ly6/neurotoxin 1 [Source:HGNC Symbol;Acc:HGNC:29604]
cg00564916,EIF2AK1,eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]
cg00614157,REEP5,receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]
cg00643333,FAM118A,family with sequence similarity 118 member A [Source:HGNC Symbol;Acc:HGNC:1313]
cg00697642,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]
cg00819362,CLIP3,CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]
cg00829456,FRYL,FRY like transcription coactivator [Source:HGNC Symbol;Acc:HGNC:29127]
cg00846968,NHP2L1,NA
cg00876127,BBS2,Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967]
cg00937518,EPHB2,EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]
cg01099453,GTPBP1,GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]
cg01128109,LRRC8B,leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]
cg01206378,RWDD3,RWD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21393]
cg01279654,VGLL4,vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]
cg01390591,C3orf58,chromosome 3 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:28490]
cg01476569,ATMIN,ATM interactor [Source:HGNC Symbol;Acc:HGNC:29034]
cg01514859,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105]
cg01585852,MIF,macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]
cg01629408,UBE2I,ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]
cg01710897,RCCD1,RCC1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30457]
cg01720742,HSPC157,NA
cg01722343,PI4K2B,phosphatidylinositol 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:18215]
cg01726103,FAM65B,NA
cg01924993,H2AFX,H2A histone family member X [Source:HGNC Symbol;Acc:HGNC:4739]
cg01997006,BCAS4,breast carcinoma amplified sequence 4 [Source:HGNC Symbol;Acc:HGNC:14367]
cg02013961,VTA1,vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]
cg02048645,SPAG9,sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]
cg02198044,NEDD4,neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]
cg02212772,ZNF589,zinc finger protein 589 [Source:HGNC Symbol;Acc:HGNC:16747]
cg02217979,SETD8,NA
cg02247463,LRRC27,leucine rich repeat containing 27 [Source:HGNC Symbol;Acc:HGNC:29346]
cg02324432,KLHL2,kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]
cg02525232,C11orf84,NA
cg02592214,IWS1,IWS1, SUPT6H interacting protein [Source:HGNC Symbol;Acc:HGNC:25467]
cg02830576,RAF1,Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]
cg02966153,GAMT,guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]
cg03065311,ZNF512B,zinc finger protein 512B [Source:HGNC Symbol;Acc:HGNC:29212]
cg03140521,GNG12,G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]
cg03173874,SFRS18,NA
