id,gene,description
cg00005306,SRCAP,Snf2 related CREBBP activator protein [Source:HGNC Symbol;Acc:HGNC:16974]
cg00023464,CARKD,NA
cg00024404,SERINC5,serine incorporator 5 [Source:HGNC Symbol;Acc:HGNC:18825]
cg00030291,ICA1,islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]
cg00031443,PNPLA6,patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]
cg00039326,TRAPPC3,trafficking protein particle complex 3 [Source:HGNC Symbol;Acc:HGNC:19942]
cg00065048,FGR,FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]
cg00071887,LOXL1,lysyl oxidase like 1 [Source:HGNC Symbol;Acc:HGNC:6665]
cg00080123,GRK6,G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]
cg00091633,FSTL1,follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]
cg00092611,WAC,WW domain containing adaptor with coiled-coil [Source:HGNC Symbol;Acc:HGNC:17327]
cg00102166,SLC2A1,solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]
cg00103329,ETNK2,ethanolamine kinase 2 [Source:HGNC Symbol;Acc:HGNC:25575]
cg00119181,SNCA,synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]
cg00124009,PHLDA3,pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934]
cg00128188,IDI1,isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]
cg00159212,SLC35A3,solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023]
cg00167654,WSCD1,WSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29060]
cg00191882,CCDC46,NA
cg00194681,WDYHV1,WDYHV motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25490]
cg00206999,ABHD6,abhydrolase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21398]
cg00207280,TRIB1,tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]
cg00210144,EIF5A,eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]
cg00214294,KLHL5,kelch like family member 5 [Source:HGNC Symbol;Acc:HGNC:6356]
cg00221494,FARP1,FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]
cg00223877,TKT,transketolase [Source:HGNC Symbol;Acc:HGNC:11834]
cg00225765,STK32B,serine/threonine kinase 32B [Source:HGNC Symbol;Acc:HGNC:14217]
cg00231918,SH3BP2,SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]
cg00252032,PTK7,protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]
cg00259755,PWWP2B,PWWP domain containing 2B [Source:HGNC Symbol;Acc:HGNC:25150]
cg00261416,DAB2,DAB2, clathrin adaptor protein [Source:HGNC Symbol;Acc:HGNC:2662]
cg00299660,LRRC32,leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:HGNC:4161]
cg00307383,KIRREL,NA
cg00308159,MN1,MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]
cg00309178,EXO1,exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]
cg00313795,LOC646762,NA
cg00329472,R3HCC1,R3H domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:27329]
cg00346446,MRPL24,mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037]
cg00350296,CD248,CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219]
cg00351537,ZNF358,zinc finger protein 358 [Source:HGNC Symbol;Acc:HGNC:16838]
cg00356818,MTRF1L,mitochondrial translational release factor 1 like [Source:HGNC Symbol;Acc:HGNC:21051]
cg00366837,JUNB,JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]
cg00377849,TMEM188,NA
cg00383081,GLUL,glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]
cg00394830,PAN2,PAN2 poly(A) specific ribonuclease subunit [Source:HGNC Symbol;Acc:HGNC:20074]
cg00402172,NFATC3,nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777]
cg00421624,SLC27A3,solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]
cg00429477,ZNF384,zinc finger protein 384 [Source:HGNC Symbol;Acc:HGNC:11955]
cg00437399,CASC5,NA
cg00454305,UNKL,unkempt family like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]
cg00455178,CYP2R1,cytochrome P450 family 2 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:20580]
cg00461978,MAN2C1,mannosidase alpha class 2C member 1 [Source:HGNC Symbol;Acc:HGNC:6827]
cg00465359,RNF38,ring finger protein 38 [Source:HGNC Symbol;Acc:HGNC:18052]
cg00465941,PRPF40B,pre-mRNA processing factor 40 homolog B [Source:HGNC Symbol;Acc:HGNC:25031]
cg00474194,SOCS6,suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]
cg00478851,PPFIBP2,PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250]
cg00479101,PSEN2,presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]
cg00481259,DECR2,2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]
cg00481457,LAMA3,laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]
cg00482898,SNRPG,small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]
cg00488501,OSBPL5,oxysterol binding protein like 5 [Source:HGNC Symbol;Acc:HGNC:16392]
cg00490655,FIGN,fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]
cg00495415,SP1,Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]
cg00505318,UBA3,ubiquitin like modifier activating enzyme 3 [Source:HGNC Symbol;Acc:HGNC:12470]
cg00508334,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]
cg00509187,ENOX1,ecto-NOX disulfide-thiol exchanger 1 [Source:HGNC Symbol;Acc:HGNC:25474]
cg00513208,UPF2,UPF2, regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:17854]
cg00514575,MGAT1,mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]
cg00521598,MYCBP,MYC binding protein [Source:HGNC Symbol;Acc:HGNC:7554]
cg00523425,ATP5G1,NA
cg00527653,SGPL1,sphingosine-1-phosphate lyase 1 [Source:HGNC Symbol;Acc:HGNC:10817]
cg00530720,DGKZ,diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]
cg00532474,PSTPIP2,proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9581]
cg00533390,HNRNPU,heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]
cg00535466,ZC3H8,zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941]
cg00536383,ASAP2,ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]
cg00539174,CTSZ,cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]
cg00539564,ARFGAP3,ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]
cg00547444,PDPK1,3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816]
cg00551143,TRIL,TLR4 interactor with leucine rich repeats [Source:HGNC Symbol;Acc:HGNC:22200]
cg00563229,XKR8,XK related 8 [Source:HGNC Symbol;Acc:HGNC:25508]
cg00564831,CDC7,cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]
cg00565070,PDE4A,phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]
cg00567854,BTG2,BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]
cg00576121,FAM59A,NA
cg00576301,SPG20,NA
cg00581017,FGGY,FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]
