id,gene,description
cg00154968,CDK13,cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]
cg00320027,PABPC1,poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]
cg00466544,C14orf101,NA
cg00520612,RPL24,ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]
cg00637178,ZNF622,zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]
cg00707452,FOXP1,forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]
cg00742603,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]
cg00852783,UBXN11,UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]
cg01280609,BID,BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]
cg01601573,GAB1,GRB2 associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]
cg01604611,ADSL,adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]
cg01615018,HOXC9,homeobox C9 [Source:HGNC Symbol;Acc:HGNC:5130]
cg01693305,CAPZB,capping actin protein of muscle Z-line beta subunit [Source:HGNC Symbol;Acc:HGNC:1491]
cg01968759,OTUD4,OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949]
cg02352687,DUSP1,dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]
cg02668984,PDK2,pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]
cg02835421,IPO13,importin 13 [Source:HGNC Symbol;Acc:HGNC:16853]
cg03124231,HMGB2,high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]
cg03173975,MTG1,mitochondrial ribosome associated GTPase 1 [Source:HGNC Symbol;Acc:HGNC:32159]
cg03466432,SLC12A6,solute carrier family 12 member 6 [Source:HGNC Symbol;Acc:HGNC:10914]
cg03552156,BCL6,B cell CLL/lymphoma 6 [Source:HGNC Symbol;Acc:HGNC:1001]
cg03621001,RAB8A,RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:7007]
cg03916787,RPL35,ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]
cg04003500,TJP2,tight junction protein 2 [Source:HGNC Symbol;Acc:HGNC:11828]
cg04313552,KIAA2013,KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]
cg04336836,HDGFRP3,NA
cg04570518,ARID3A,AT-rich interaction domain 3A [Source:HGNC Symbol;Acc:HGNC:3031]
cg04687486,FUT10,fucosyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19234]
cg04999502,FCHO2,FCH domain only 2 [Source:HGNC Symbol;Acc:HGNC:25180]
