id,gene,description
cg00093643,CASC4,cancer susceptibility 4 [Source:HGNC Symbol;Acc:HGNC:24892]
cg00099240,SYN3,synapsin III [Source:HGNC Symbol;Acc:HGNC:11496]
cg00148666,MT1X,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
cg00245854,DCTN4,dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]
cg00252813,GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]
cg00255919,IRF1,interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]
cg00292851,WDR4,WD repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12756]
cg00313981,TRIM11,tripartite motif containing 11 [Source:HGNC Symbol;Acc:HGNC:16281]
cg00422248,CHERP,calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]
cg00484532,PLEKHA2,pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]
cg00556514,PLCD1,phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]
cg00795000,PGF,placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]
cg00991576,MYPOP,Myb related transcription factor, partner of profilin [Source:HGNC Symbol;Acc:HGNC:20178]
cg01089639,JAK3,Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]
cg02153089,PDDC1,NA
cg02285386,TOM1,target of myb1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11982]
cg02487422,NICN1,nicolin 1 [Source:HGNC Symbol;Acc:HGNC:18317]
cg02713153,GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]
cg02792140,FZR1,fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]
cg03039974,FTL,ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]
cg03077453,ZNF528,zinc finger protein 528 [Source:HGNC Symbol;Acc:HGNC:29384]
cg03099611,PKD2,polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]
cg03208983,MAGOHB,mago homolog B, exon junction complex core component [Source:HGNC Symbol;Acc:HGNC:25504]
cg03218563,ICK,intestinal cell kinase [Source:HGNC Symbol;Acc:HGNC:21219]
cg03541334,ZBTB12,zinc finger and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:19066]
cg04220482,GGH,gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]
cg04347447,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]
cg04474049,CAV1,caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]
cg04555665,PDRG1,p53 and DNA damage regulated 1 [Source:HGNC Symbol;Acc:HGNC:16119]
cg04859918,AIFM2,apoptosis inducing factor, mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]
cg05004431,SF3A3,splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]
cg05165378,ZNF655,zinc finger protein 655 [Source:HGNC Symbol;Acc:HGNC:30899]
cg05868516,HIST1H4H,histone cluster 1 H4 family member h [Source:HGNC Symbol;Acc:HGNC:4788]
cg05885484,CSNK1G3,casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]
cg06201907,RHOC,ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]
