id,gene,description
cg00004818,AGA,aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]
cg00015121,THTPA,thiamine triphosphatase [Source:HGNC Symbol;Acc:HGNC:18987]
cg00033533,KIAA1539,NA
cg00079023,PURA,purine rich element binding protein A [Source:HGNC Symbol;Acc:HGNC:9701]
cg00090609,PRDM4,PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]
cg00161345,NAE1,NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621]
cg00186701,TSPYL5,TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]
cg00258873,RPP21,ribonuclease P/MRP subunit p21 [Source:HGNC Symbol;Acc:HGNC:21300]
cg00396677,HIPK3,homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]
cg00467326,TIMM13,translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]
cg00563932,PTGDS,prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]
cg00584416,RSBN1,round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]
cg00592510,HIC1,HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]
cg00623200,IGDCC4,immunoglobulin superfamily DCC subclass member 4 [Source:HGNC Symbol;Acc:HGNC:13770]
cg00624212,NBEAL2,neurobeachin like 2 [Source:HGNC Symbol;Acc:HGNC:31928]
cg00636809,EGR2,early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]
cg00637477,DNAJC5,DnaJ heat shock protein family (Hsp40) member C5 [Source:HGNC Symbol;Acc:HGNC:16235]
cg00649606,SLC19A2,solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]
cg00683961,SORT1,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]
cg00901652,CTR9,CTR9 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:16850]
cg00931644,KCTD12,potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]
cg00954003,TMSB10,thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]
cg00969323,DTYMK,deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]
cg00986800,FNDC3B,fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]
cg01063572,NFIA,nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]
cg01066936,TEF,TEF, PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:11722]
cg01114951,TRIM45,tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]
cg01156768,CTDP1,CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]
cg01170160,CLTA,clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]
cg01251714,PMEPA1,prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]
cg01291010,SLC7A6,solute carrier family 7 member 6 [Source:HGNC Symbol;Acc:HGNC:11064]
cg01346718,CSNK1E,casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]
cg01353524,HEXIM2,hexamethylene bisacetamide inducible 2 [Source:HGNC Symbol;Acc:HGNC:28591]
cg01367750,ACBD5,acyl-CoA binding domain containing 5 [Source:HGNC Symbol;Acc:HGNC:23338]
cg01428687,C3orf10,NA
cg01493658,ABL1,ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]
cg01604401,BLCAP,bladder cancer associated protein [Source:HGNC Symbol;Acc:HGNC:1055]
cg01610915,THOC5,THO complex 5 [Source:HGNC Symbol;Acc:HGNC:19074]
cg01657207,ZNF35,zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]
cg01693652,RPS21,ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]
cg01808433,HEBP2,heme binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15716]
cg01929377,FAM48A,NA
cg02027561,NCOA7,nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]
cg02034720,FBXO4,F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]
cg02085953,ARID5A,AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]
cg02247163,RGL2,ral guanine nucleotide dissociation stimulator like 2 [Source:HGNC Symbol;Acc:HGNC:9769]
cg02273970,SCIN,scinderin [Source:HGNC Symbol;Acc:HGNC:21695]
cg02301209,SOX4,SRY-box 4 [Source:HGNC Symbol;Acc:HGNC:11200]
cg02305850,TIRAP,TIR domain containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:17192]
cg02358761,STK17B,serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396]
cg02376163,FBXO38,F-box protein 38 [Source:HGNC Symbol;Acc:HGNC:28844]
cg02493602,ME3,malic enzyme 3 [Source:HGNC Symbol;Acc:HGNC:6985]
cg02693127,ARHGAP10,Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099]
cg02792829,CHST14,carbohydrate sulfotransferase 14 [Source:HGNC Symbol;Acc:HGNC:24464]
cg02822963,COMMD2,COMM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24993]
cg02886541,SIP1,NA
cg02891332,TWSG1,twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]
cg03004599,SUSD1,sushi domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25413]
cg03113683,TMEM50B,transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]
cg03173367,ANKRD39,ankyrin repeat domain 39 [Source:HGNC Symbol;Acc:HGNC:28640]
cg03451178,MAP1D,NA
cg03451204,BCAR1,BCAR1, Cas family scaffolding protein [Source:HGNC Symbol;Acc:HGNC:971]
cg03452174,RAB34,RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]
cg03458162,FTSJD2,NA
cg03551161,OSBP2,oxysterol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8504]
cg03577591,FZD1,frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]
cg03588376,RPS11,ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]
cg03736928,CHST6,carbohydrate sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:6938]
