gene,coef,description
ACAA2,-0.00129556856805077,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
CCDC69,0.00867381982559164,coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]
EPHX3,-0.00461009531003757,epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760]
FKBP15,0.0206073637885862,FK506 binding protein 15 [Source:HGNC Symbol;Acc:HGNC:23397]
GRIN2D,-0.00532392937440571,glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]
IL27RA,0.00719341033673392,interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]
LOC650368,-0.00128203583410277,NA
PHYHD1,-0.00479278793124784,phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396]
PLBD1,-0.00123660083896933,phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]
RAC2,0.0114390543279333,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
SRCRB4D,-0.0110218967350709,NA
TNFRSF10D,-0.00755952921910556,TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]
TSTA3,0.0125328704393371,tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390]
