id,gene,description
cg00987379,ZNF395,zinc finger protein 395 [Source:HGNC Symbol;Acc:HGNC:18737]
cg03138405,GLT25D1,NA
cg06284322,TAF7,TATA-box binding protein associated factor 7 [Source:HGNC Symbol;Acc:HGNC:11541]
cg06462291,NT5DC3,5'-nucleotidase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30826]
cg14101501,EHBP1,EH domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29144]
cg14607011,C10orf125,NA
cg14966252,ZNF622,zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]
cg15278948,ZFAND2B,zinc finger AN1-type containing 2B [Source:HGNC Symbol;Acc:HGNC:25206]
cg19517525,ACTG1,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]
cg20043466,PLK1S1,NA
cg22054164,ECE1,endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]
cg22472290,ZNF577,zinc finger protein 577 [Source:HGNC Symbol;Acc:HGNC:28673]
cg25133016,PIP4K2C,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]
