id,gene,description
cg00328227,C1orf59,NA
cg05160935,MED30,mediator complex subunit 30 [Source:HGNC Symbol;Acc:HGNC:23032]
cg07851243,MXRA7,matrix remodeling associated 7 [Source:HGNC Symbol;Acc:HGNC:7541]
cg09593286,SQRDL,NA
cg14159818,C20orf27,chromosome 20 open reading frame 27 [Source:HGNC Symbol;Acc:HGNC:15873]
cg14166009,HKR1,HKR1, GLI-Kruppel zinc finger family member [Source:HGNC Symbol;Acc:HGNC:4928]
cg14706739,EPB49,NA
cg16721202,SP4,Sp4 transcription factor [Source:HGNC Symbol;Acc:HGNC:11209]
cg20708411,CSNK1G3,casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]
cg23265096,CTSZ,cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]
cg23591853,IFT172,intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]
cg27535305,SCP2,sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]
