id,gene,description
cg00255919,IRF1,interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]
cg00265490,MTDH,metadherin [Source:HGNC Symbol;Acc:HGNC:29608]
cg00423729,SLC36A1,solute carrier family 36 member 1 [Source:HGNC Symbol;Acc:HGNC:18761]
cg00474194,SOCS6,suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]
cg01153872,HDAC4,histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]
cg01547541,C2orf67,NA
cg02081976,SOAT1,sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]
cg02493602,ME3,malic enzyme 3 [Source:HGNC Symbol;Acc:HGNC:6985]
cg03168184,CCDC85C,coiled-coil domain containing 85C [Source:HGNC Symbol;Acc:HGNC:35459]
cg03457142,EIF4E3,eukaryotic translation initiation factor 4E family member 3 [Source:HGNC Symbol;Acc:HGNC:31837]
cg03608974,ZAK,NA
cg03950246,NEO1,neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]
cg04051458,THBS1,thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]
cg04234238,PSMD7,proteasome 26S subunit, non-ATPase 7 [Source:HGNC Symbol;Acc:HGNC:9565]
cg04290162,MPHOSPH6,M-phase phosphoprotein 6 [Source:HGNC Symbol;Acc:HGNC:7214]
cg04463232,MCPH1,microcephalin 1 [Source:HGNC Symbol;Acc:HGNC:6954]
cg05755010,ACP6,acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]
cg05928051,C18orf1,NA
cg06419959,NELF,NA
cg06466797,HERPUD2,HERPUD family member 2 [Source:HGNC Symbol;Acc:HGNC:21915]
cg07102072,FLJ10357,NA
cg07421287,KCNA3,potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221]
cg08358392,L3MBTL3,L3MBTL3, histone methyl-lysine binding protein [Source:HGNC Symbol;Acc:HGNC:23035]
cg08361238,PTGFRN,prostaglandin F2 receptor inhibitor [Source:HGNC Symbol;Acc:HGNC:9601]
cg08593229,CD320,CD320 molecule [Source:HGNC Symbol;Acc:HGNC:16692]
cg09220061,SNTB2,syntrophin beta 2 [Source:HGNC Symbol;Acc:HGNC:11169]
cg09336947,KCNQ1,potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]
cg09541256,RUNX2,runt related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10472]
cg09907170,BCL2L11,BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]
cg10010376,PDE4DIP,phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]
cg10381071,TLE3,transducin like enhancer of split 3 [Source:HGNC Symbol;Acc:HGNC:11839]
cg10381488,SPATA5L1,spermatogenesis associated 5 like 1 [Source:HGNC Symbol;Acc:HGNC:28762]
cg10430205,GTF2B,general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]
cg10683527,NEIL3,nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]
cg10936230,RAB27A,RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]
cg11698035,ARMC7,armadillo repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:26168]
cg12592716,CUL1,cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]
cg12869659,ZNF238,NA
cg12997404,C2CD2L,C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]
cg13153661,TOP1MT,DNA topoisomerase I mitochondrial [Source:HGNC Symbol;Acc:HGNC:29787]
cg13612958,MPV17L2,MPV17 mitochondrial inner membrane protein like 2 [Source:HGNC Symbol;Acc:HGNC:28177]
cg13948710,ZNF813,zinc finger protein 813 [Source:HGNC Symbol;Acc:HGNC:33257]
cg15195538,GMPPA,GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]
cg16019700,SOCS2,suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]
cg16330965,SNAPC5,small nuclear RNA activating complex polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:15484]
cg16615842,SLC35E3,solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]
cg17653784,SMAGP,small cell adhesion glycoprotein [Source:HGNC Symbol;Acc:HGNC:26918]
cg18110535,LPIN2,lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]
cg18892446,ENC1,ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]
cg19350839,VKORC1L1,vitamin K epoxide reductase complex subunit 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21492]
cg19495650,JMJD1C,jumonji domain containing 1C [Source:HGNC Symbol;Acc:HGNC:12313]
cg20874811,TRIM25,tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]
cg21152671,TRAF1,TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]
cg24306924,GPT2,glutamic--pyruvic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:18062]
