id,gene,description
cg00160619,B3GALNT1,beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]
cg00251705,ZDHHC5,zinc finger DHHC-type containing 5 [Source:HGNC Symbol;Acc:HGNC:18472]
cg00466249,SLC38A10,solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]
cg00754357,ZCCHC11,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
cg01639256,ASPRV1,aspartic peptidase retroviral like 1 [Source:HGNC Symbol;Acc:HGNC:26321]
cg01742897,TCF4,transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11634]
cg01817714,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]
cg01901788,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]
cg02438054,FEM1A,fem-1 homolog A [Source:HGNC Symbol;Acc:HGNC:16934]
cg02478448,CCNA1,cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]
cg02809401,LTBP3,latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716]
cg02943290,C1orf198,chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]
cg02967706,SRI,sorcin [Source:HGNC Symbol;Acc:HGNC:11292]
cg03414631,FAM54B,NA
cg03507241,TUBB6,tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]
cg03712038,ZNF160,zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]
cg03753297,LRFN3,leucine rich repeat and fibronectin type III domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28370]
cg03860466,PRDX2,peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]
cg04051335,C5orf62,NA
cg04160030,FUCA1,alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]
cg04522604,C5orf13,NA
cg05336561,EDEM3,ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]
cg05460965,CDKN1A,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]
cg05934259,SGPP1,sphingosine-1-phosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:17720]
cg06100291,CLSPN,claspin [Source:HGNC Symbol;Acc:HGNC:19715]
cg06423533,UHRF1,ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]
cg06803897,FBXO38,F-box protein 38 [Source:HGNC Symbol;Acc:HGNC:28844]
cg06874144,CAB39,calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]
cg07025471,GPBP1,GC-rich promoter binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29520]
cg07810884,TPM4,tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]
cg07957953,GGT7,gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]
cg07987148,TP53RK,TP53 regulating kinase [Source:HGNC Symbol;Acc:HGNC:16197]
cg08522707,MRPS33,mitochondrial ribosomal protein S33 [Source:HGNC Symbol;Acc:HGNC:16634]
cg08866780,APP,amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]
cg09079275,ADAM19,ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]
cg10379890,IRF4,interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]
cg10958452,KDM4A,lysine demethylase 4A [Source:HGNC Symbol;Acc:HGNC:22978]
cg11713493,PLD6,phospholipase D family member 6 [Source:HGNC Symbol;Acc:HGNC:30447]
cg12708994,DSE,dermatan sulfate epimerase [Source:HGNC Symbol;Acc:HGNC:21144]
cg12896751,SEMA4C,semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]
cg13216112,NRBF2,nuclear receptor binding factor 2 [Source:HGNC Symbol;Acc:HGNC:19692]
cg13894301,KLF4,Kruppel like factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]
cg14029169,CST3,cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]
cg16337574,BLOC1S1,biogenesis of lysosomal organelles complex 1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:4200]
cg18042079,UTP6,UTP6, small subunit processome component [Source:HGNC Symbol;Acc:HGNC:18279]
cg18931633,CLU,clusterin [Source:HGNC Symbol;Acc:HGNC:2095]
cg19040483,DLC1,DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]
cg21549639,TOMM40,translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001]
cg24256772,FUT4,fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]
cg24341498,RXRA,retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]
cg26178446,OBFC2A,NA
cg26534677,CCDC25,coiled-coil domain containing 25 [Source:HGNC Symbol;Acc:HGNC:25591]
cg26922706,SKP1,S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]
cg27275523,KCTD12,potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]
cg27369452,DNMT3A,DNA methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978]
