id,gene,description
cg00041328,C17orf85,NA
cg00128877,MKNK1,MAP kinase interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]
cg00157962,FAM102B,family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637]
cg00239003,CLPTM1,CLPTM1, transmembrane protein [Source:HGNC Symbol;Acc:HGNC:2087]
cg00254079,TES,testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]
cg00280345,GPT,glutamic--pyruvic transaminase [Source:HGNC Symbol;Acc:HGNC:4552]
cg00501711,PABPC1L,poly(A) binding protein cytoplasmic 1 like [Source:HGNC Symbol;Acc:HGNC:15797]
cg00531750,LRIG1,leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]
cg00542638,C22orf25,NA
cg00871371,SEPT9,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]
cg00940212,GARS,glycyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:4162]
cg00978698,ZNF394,zinc finger protein 394 [Source:HGNC Symbol;Acc:HGNC:18832]
cg00986320,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]
cg01100984,FBXW4,F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]
cg01114900,CTNNA1,catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]
cg01154930,GAA,glucosidase alpha, acid [Source:HGNC Symbol;Acc:HGNC:4065]
cg01196495,HIST1H2AM,histone cluster 1 H2A family member m [Source:HGNC Symbol;Acc:HGNC:4735]
cg01220469,RNF26,ring finger protein 26 [Source:HGNC Symbol;Acc:HGNC:14646]
cg01244303,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]
cg01293485,HIGD1A,HIG1 hypoxia inducible domain family member 1A [Source:HGNC Symbol;Acc:HGNC:29527]
cg01333131,CDC42BPB,CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738]
cg01385430,VPS45,vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
cg01434783,SPRY1,sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]
cg01612478,ZNF709,zinc finger protein 709 [Source:HGNC Symbol;Acc:HGNC:20629]
cg01643320,MRPS24,mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:14510]
cg01724150,NMNAT3,nicotinamide nucleotide adenylyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:20989]
cg01763913,SHMT2,serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]
cg01944288,NTNG2,netrin G2 [Source:HGNC Symbol;Acc:HGNC:14288]
cg02062123,SLC46A1,solute carrier family 46 member 1 [Source:HGNC Symbol;Acc:HGNC:30521]
cg02182571,USP53,ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255]
cg02324920,NEURL,NA
cg02367709,LOC651250,NA
cg02549492,RHOBTB3,Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]
cg02550119,LIG3,DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]
cg02690968,TRIM44,tripartite motif containing 44 [Source:HGNC Symbol;Acc:HGNC:19016]
cg02696790,RPP25,ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]
cg02896624,SDCBP,syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]
cg02930951,CEBPB,CCAAT/enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]
cg02959669,ZNF256,zinc finger protein 256 [Source:HGNC Symbol;Acc:HGNC:13049]
