id,gene,description
cg00290974,SBF2,SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]
cg00428492,GTPBP8,GTP binding protein 8 (putative) [Source:HGNC Symbol;Acc:HGNC:25007]
cg00718036,SGMS2,sphingomyelin synthase 2 [Source:HGNC Symbol;Acc:HGNC:28395]
cg00771553,VANGL1,VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512]
cg00817502,SEC24D,SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]
cg00819362,CLIP3,CAP-Gly domain containing linker protein 3 [Source:HGNC Symbol;Acc:HGNC:24314]
cg01030476,LGALS8,galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]
cg01693305,CAPZB,capping actin protein of muscle Z-line beta subunit [Source:HGNC Symbol;Acc:HGNC:1491]
cg01828661,MST1P2,macrophage stimulating 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:7383]
cg02130027,CD2AP,CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]
cg02668984,PDK2,pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]
cg02727227,MBOAT2,membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]
cg03412618,LOC400931,NA
cg03481509,NEURL1B,neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]
cg03973663,LYN,LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]
cg04985396,NEGR1,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]
cg05308656,ARL4C,ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]
cg05591210,KCNE3,potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]
cg06194119,TMEM185B,transmembrane protein 185B [Source:HGNC Symbol;Acc:HGNC:18896]
cg06498773,TAX1BP1,Tax1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]
cg06811166,NR4A1,nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]
cg06961876,NUP50,nucleoporin 50 [Source:HGNC Symbol;Acc:HGNC:8065]
cg06969845,HRH2,histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]
cg07203320,COPB2,coatomer protein complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]
cg07462677,EXT1,exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]
cg08057338,KCTD1,potassium channel tetramerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18249]
cg08648346,ZNF514,zinc finger protein 514 [Source:HGNC Symbol;Acc:HGNC:25894]
cg09551996,CCND1,cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]
cg09569536,RIMKLB,ribosomal modification protein rimK like family member B [Source:HGNC Symbol;Acc:HGNC:29228]
cg10651300,ESPL1,extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]
cg10776186,NUPL1,NA
cg10844844,KCNK5,potassium two pore domain channel subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:6280]
cg11197418,SUCLG2,succinate-CoA ligase GDP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11450]
cg11518240,FKBP4,FK506 binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3720]
cg12600550,ARAP2,ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]
cg13443953,NECAP1,NECAP endocytosis associated 1 [Source:HGNC Symbol;Acc:HGNC:24539]
cg14083890,PPIL2,peptidylprolyl isomerase like 2 [Source:HGNC Symbol;Acc:HGNC:9261]
cg14167139,KDELC2,KDEL motif containing 2 [Source:HGNC Symbol;Acc:HGNC:28496]
cg15091337,POLE4,DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]
cg15823100,PISD,phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]
cg15991975,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]
cg16180531,SLCO4A1,solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953]
cg16936060,HOPX,HOP homeobox [Source:HGNC Symbol;Acc:HGNC:24961]
cg18177616,IRAK3,interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020]
cg18568145,FAM189B,family with sequence similarity 189 member B [Source:HGNC Symbol;Acc:HGNC:1233]
cg22231056,AIM1,NA
cg22300819,ATP6V1H,ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]
cg22425806,TGFA,transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]
cg22448433,UCHL3,ubiquitin C-terminal hydrolase L3 [Source:HGNC Symbol;Acc:HGNC:12515]
cg23351853,ATP11B,ATPase phospholipid transporting 11B (putative) [Source:HGNC Symbol;Acc:HGNC:13553]
cg24645247,HNRNPU,heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]
cg25884424,CKAP2L,cytoskeleton associated protein 2 like [Source:HGNC Symbol;Acc:HGNC:26877]
cg26972554,FLJ44606,NA
