id,gene,description
cg00073771,OAT,ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]
cg00089464,LOC285830,NA
cg00306721,BSCL2,BSCL2, seipin lipid droplet biogenesis associated [Source:HGNC Symbol;Acc:HGNC:15832]
cg00419092,RASSF3,Ras association domain family member 3 [Source:HGNC Symbol;Acc:HGNC:14271]
cg00723044,MAP3K9,mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]
cg01316047,LRP3,LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]
cg01570589,PLEKHO1,pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]
cg01686115,ATXN1,ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]
cg01934790,FBXL16,F-box and leucine rich repeat protein 16 [Source:HGNC Symbol;Acc:HGNC:14150]
cg02150674,PHYH,phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]
cg02661372,IER5,immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]
cg02833108,TAF4B,TATA-box binding protein associated factor 4b [Source:HGNC Symbol;Acc:HGNC:11538]
cg03478948,PDSS1,decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]
cg03547523,CAPN5,calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]
cg04049033,RILP,Rab interacting lysosomal protein [Source:HGNC Symbol;Acc:HGNC:30266]
cg04235146,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]
cg04361126,SLC40A1,solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]
cg04571130,COPG,NA
cg04811098,INSIG1,insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]
cg05149234,KLC2,kinesin light chain 2 [Source:HGNC Symbol;Acc:HGNC:20716]
cg05656486,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]
cg06024236,RHOT1,ras homolog family member T1 [Source:HGNC Symbol;Acc:HGNC:21168]
cg06848762,RPS6KA4,ribosomal protein S6 kinase A4 [Source:HGNC Symbol;Acc:HGNC:10433]
cg06962913,WDR55,WD repeat domain 55 [Source:HGNC Symbol;Acc:HGNC:25971]
cg07180252,ARHGAP26,Rho GTPase activating protein 26 [Source:HGNC Symbol;Acc:HGNC:17073]
cg08169325,STX2,syntaxin 2 [Source:HGNC Symbol;Acc:HGNC:3403]
cg08381325,ORC4L,NA
cg08583059,C17orf37,NA
cg08814373,VAV2,vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]
cg08888553,C16orf91,chromosome 16 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:27558]
cg09026415,TMEM161B,transmembrane protein 161B [Source:HGNC Symbol;Acc:HGNC:28483]
cg09221314,C3orf64,NA
cg09339476,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) [Source:HGNC Symbol;Acc:HGNC:23989]
cg09589443,C20orf117,NA
cg09831553,LAMA5,laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]
cg10165864,PDK1,pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]
cg10871529,CNP,2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]
cg12480416,PVT1,Pvt1 oncogene (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:9709]
cg12726807,GCHFR,GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]
cg13488395,MMP17,matrix metallopeptidase 17 [Source:HGNC Symbol;Acc:HGNC:7163]
cg13802527,C9orf80,NA
cg14392031,NIPSNAP3B,nipsnap homolog 3B [Source:HGNC Symbol;Acc:HGNC:23641]
cg14564247,PFKFB4,6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]
