id,gene,description
cg00180277,IGF2R,insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]
cg00313795,LOC646762,NA
cg00364956,SLFN13,schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]
cg00427296,MYH10,myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]
cg00544436,HMGA1,high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]
cg00664682,SLC41A1,solute carrier family 41 member 1 [Source:HGNC Symbol;Acc:HGNC:19429]
cg00785170,PHLDA3,pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934]
cg00805360,ADAM8,ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]
cg01016637,SLC2A13,solute carrier family 2 member 13 [Source:HGNC Symbol;Acc:HGNC:15956]
cg01341755,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
cg01418527,FSCN1,fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]
cg01457077,TRAF3IP1,TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]
cg01471153,GOLGA8B,golgin A8 family member B [Source:HGNC Symbol;Acc:HGNC:31973]
cg01796438,ATG7,autophagy related 7 [Source:HGNC Symbol;Acc:HGNC:16935]
cg01877937,L3MBTL,NA
cg01963623,USP18,ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]
cg02124724,COL18A1,collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]
cg02201774,MYADM,myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]
cg02622557,EIF3A,eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]
cg02634421,TRAP1,TNF receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16264]
cg02779467,PRPSAP2,phosphoribosyl pyrophosphate synthetase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:9467]
cg02834449,C16orf74,chromosome 16 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:23362]
cg03028106,CBX6,chromobox 6 [Source:HGNC Symbol;Acc:HGNC:1556]
cg03107405,TSSC1,NA
cg03514937,FKBPL,FK506 binding protein like [Source:HGNC Symbol;Acc:HGNC:13949]
cg03743605,TOR3A,torsin family 3 member A [Source:HGNC Symbol;Acc:HGNC:11997]
cg03801030,APBB1,amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]
cg04019128,EIF1B,eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]
cg04347447,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]
cg04547158,ZNF823,zinc finger protein 823 [Source:HGNC Symbol;Acc:HGNC:30936]
cg04617786,MAK16,MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]
cg04860852,KIF21B,kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]
cg05656830,COMMD3,COMM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23332]
cg06272010,INPP5D,inositol polyphosphate-5-phosphatase D [Source:HGNC Symbol;Acc:HGNC:6079]
cg06330142,LSR,lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]
cg06376949,IFIT5,interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]
cg06915165,GABARAPL1,GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]
cg06922305,USP39,ubiquitin specific peptidase 39 [Source:HGNC Symbol;Acc:HGNC:20071]
cg07305215,ZFP161,NA
cg07354253,SLC22A4,solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]
cg07538206,C2CD2,C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]
cg07625129,SPHK1,sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]
cg07663765,KIAA1609,NA
cg07665487,EFR3A,EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]
cg07730364,KIAA1614,KIAA1614 [Source:HGNC Symbol;Acc:HGNC:29327]
cg07839457,NLRC5,NLR family CARD domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29933]
cg08425760,AGTRAP,angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]
cg08500346,CTSH,cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]
cg08563601,BARD1,BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]
cg09121269,PNMA1,PNMA family member 1 [Source:HGNC Symbol;Acc:HGNC:9158]
cg09257332,ZFP82,ZFP82 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:28682]
cg09280288,EIF4H,eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]
cg09574807,MED7,mediator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:2378]
cg10207787,PPP2R2A,protein phosphatase 2 regulatory subunit Balpha [Source:HGNC Symbol;Acc:HGNC:9304]
cg10694761,FAM86B1,family with sequence similarity 86 member B1 [Source:HGNC Symbol;Acc:HGNC:28268]
cg11012543,ALAS1,5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]
cg11152302,NYNRIN,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165]
cg11354057,SLC36A4,solute carrier family 36 member 4 [Source:HGNC Symbol;Acc:HGNC:19660]
cg11753600,RP9,RP9, pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:10288]
cg11836154,C14orf79,NA
cg12019773,ZFP30,ZFP30 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:29555]
cg12586386,AQP11,aquaporin 11 [Source:HGNC Symbol;Acc:HGNC:19940]
cg12883826,CAMK2D,calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]
cg13505631,NEK6,NIMA related kinase 6 [Source:HGNC Symbol;Acc:HGNC:7749]
cg13682722,C14orf102,NA
cg13934277,KIAA0146,NA
cg14237749,SLC2A6,solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]
cg14515811,FAM125B,NA
cg14713118,LAPTM4B,lysosomal protein transmembrane 4 beta [Source:HGNC Symbol;Acc:HGNC:13646]
cg15538669,HSPA9,heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]
cg15720675,PRPF3,pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]
cg15964212,PLEKHH1,pleckstrin homology, MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]
cg16284739,SUGT1,SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:HGNC Symbol;Acc:HGNC:16987]
cg16312647,PPIB,peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]
cg16400486,FOXN3,forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]
cg16734947,FAM91A1,family with sequence similarity 91 member A1 [Source:HGNC Symbol;Acc:HGNC:26306]
cg17020154,TCEB3,NA
cg18087520,CALM1,calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]
cg19303748,TSPAN4,tetraspanin 4 [Source:HGNC Symbol;Acc:HGNC:11859]
cg19565594,PRELID2,PRELI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28306]
cg19734030,H2AFV,H2A histone family member V [Source:HGNC Symbol;Acc:HGNC:20664]
cg19846193,TGFBR3,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
cg20001087,NUAK2,NUAK family kinase 2 [Source:HGNC Symbol;Acc:HGNC:29558]
cg20064704,PIGU,phosphatidylinositol glycan anchor biosynthesis class U [Source:HGNC Symbol;Acc:HGNC:15791]
cg20807852,ANKRD40,ankyrin repeat domain 40 [Source:HGNC Symbol;Acc:HGNC:28233]
cg21803245,KIAA0284,NA
cg22319885,CNOT4,CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]
cg24310133,SLC37A3,solute carrier family 37 member 3 [Source:HGNC Symbol;Acc:HGNC:20651]
cg24647403,ARL6,ADP ribosylation factor like GTPase 6 [Source:HGNC Symbol;Acc:HGNC:13210]
cg25877086,KPNB1,karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]
cg26239233,CIITA,class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]
cg26834418,CHORDC1,cysteine and histidine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14525]
cg27541691,TUBG2,tubulin gamma 2 [Source:HGNC Symbol;Acc:HGNC:12419]
