id,gene,description
cg00063945,TGIF1,TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]
cg00247471,PPM1H,protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:HGNC Symbol;Acc:HGNC:18583]
cg00338002,C1orf38,NA
cg00436301,NT5DC1,5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556]
cg00480856,WASL,Wiskott-Aldrich syndrome like [Source:HGNC Symbol;Acc:HGNC:12735]
cg00492070,CD47,CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]
cg00620824,HLA-C,major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]
cg00840516,HYAL2,hyaluronoglucosaminidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]
cg00946479,FOXRED2,FAD dependent oxidoreductase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26264]
cg01025762,DLD,dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]
cg01170160,CLTA,clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]
cg01210909,TET2,tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]
cg01311222,HEG1,heart development protein with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:29227]
cg01411731,NANP,N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]
cg01421119,C1orf97,NA
cg01434121,SLC37A4,solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]
cg01441359,TPI1,triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]
cg01508380,MMP14,matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]
cg01684579,NOP16,NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]
cg01697163,SH3BP1,SH3 domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10824]
cg01741836,CAST,calpastatin [Source:HGNC Symbol;Acc:HGNC:1515]
cg01932632,SPIRE1,spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]
cg01965476,PAK6,p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]
cg01970791,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]
cg02169113,HNRNPF,heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]
cg02243630,KIAA0922,NA
cg02362506,C4orf52,NA
cg02428100,KEAP1,kelch like ECH associated protein 1 [Source:HGNC Symbol;Acc:HGNC:23177]
cg02525232,C11orf84,NA
cg03044694,ZNF827,zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193]
cg03130627,EZR,ezrin [Source:HGNC Symbol;Acc:HGNC:12691]
cg03332970,ESAM,endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]
cg03500977,HLA-B,major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]
cg03523744,PJA2,praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]
cg03670132,KIAA1430,NA
cg03711457,USP28,ubiquitin specific peptidase 28 [Source:HGNC Symbol;Acc:HGNC:12625]
cg03741406,BMP8B,bone morphogenetic protein 8b [Source:HGNC Symbol;Acc:HGNC:1075]
cg03785281,FOXO1,forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]
cg03802185,SH2B2,SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]
cg04316905,CRLS1,cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]
cg04391205,C2orf88,chromosome 2 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:28191]
cg04469686,HSD17B7,hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]
cg04566359,FAM46C,family with sequence similarity 46 member C [Source:HGNC Symbol;Acc:HGNC:24712]
cg04692156,KIAA1671,KIAA1671 [Source:HGNC Symbol;Acc:HGNC:29345]
cg05215272,ALOX12,arachidonate 12-lipoxygenase, 12S type [Source:HGNC Symbol;Acc:HGNC:429]
cg05447673,ZNF259,NA
cg05461632,ANKFY1,ankyrin repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20763]
cg05564831,NT5DC2,5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]
cg05628771,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]
cg05636131,ZNF398,zinc finger protein 398 [Source:HGNC Symbol;Acc:HGNC:18373]
cg05675356,SUSD3,sushi domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28391]
cg05785988,LRRN2,leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:HGNC:16914]
cg05819371,BTG1,BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]
cg06303168,WIBG,NA
cg06358612,BLMH,bleomycin hydrolase [Source:HGNC Symbol;Acc:HGNC:1059]
cg06932256,GSTM4,glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]
cg06968155,SLC22A5,solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]
cg06992688,OTUB2,OTU deubiquitinase, ubiquitin aldehyde binding 2 [Source:HGNC Symbol;Acc:HGNC:20351]
