id,gene,description
cg00459232,CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
cg00524288,UPP1,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]
cg00822353,DGKE,diacylglycerol kinase epsilon [Source:HGNC Symbol;Acc:HGNC:2852]
cg01280609,BID,BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]
cg01297479,FAM108C1,NA
cg01354088,KLF11,Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]
cg01373473,NAMPT,nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]
cg01664130,DOCK9,dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]
cg01770362,SLC25A37,solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]
cg01834027,EPB41,erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]
cg01845451,TCIRG1,T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]
cg01860328,MCTP1,multiple C2 and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26183]
cg02625929,HLX,H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]
cg02961807,NRXN2,neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]
cg03117949,USP16,ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]
cg03316098,GABBR1,gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]
cg03340523,SGCB,sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]
cg03631331,C11orf9,NA
cg04269351,VTI1B,vesicle transport through interaction with t-SNAREs 1B [Source:HGNC Symbol;Acc:HGNC:17793]
cg04427462,PRKD2,protein kinase D2 [Source:HGNC Symbol;Acc:HGNC:17293]
cg04569055,PDLIM2,PDZ and LIM domain 2 [Source:HGNC Symbol;Acc:HGNC:13992]
cg05013422,WDR81,WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600]
cg05598363,C5orf32,NA
cg06024135,MRPS35,mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]
cg06754987,B4GALT2,beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]
cg06797533,PLIN2,perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]
cg06882901,ARHGAP21,Rho GTPase activating protein 21 [Source:HGNC Symbol;Acc:HGNC:23725]
cg07184922,COPS7B,COP9 signalosome subunit 7B [Source:HGNC Symbol;Acc:HGNC:16760]
cg07859880,ECH1,enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]
cg08018825,SEL1L3,SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]
cg08142848,ST3GAL3,ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]
cg08496953,C17orf104,NA
cg10773601,CLEC11A,C-type lectin domain containing 11A [Source:HGNC Symbol;Acc:HGNC:10576]
cg11325604,TULP3,tubby like protein 3 [Source:HGNC Symbol;Acc:HGNC:12425]
cg11430718,ARHGEF3,Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]
cg11571761,ELL2,elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]
cg11661263,GPR180,G protein-coupled receptor 180 [Source:HGNC Symbol;Acc:HGNC:28899]
cg11777498,RNGTT,RNA guanylyltransferase and 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:10073]
cg12722569,RNASET2,ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]
cg13393830,ZNF577,zinc finger protein 577 [Source:HGNC Symbol;Acc:HGNC:28673]
cg13468252,C1orf128,NA
cg13849825,CCNB1,cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]
cg14542238,TGOLN2,trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]
cg14808739,SREBF1,sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]
cg15871229,CCDC109A,NA
cg17270808,POGK,pogo transposable element derived with KRAB domain [Source:HGNC Symbol;Acc:HGNC:18800]
cg22092521,CFD,complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]
cg22232048,NSUN5,NOP2/Sun RNA methyltransferase family member 5 [Source:HGNC Symbol;Acc:HGNC:16385]
cg23591853,IFT172,intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]
cg24056567,PSD3,pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]
cg25565132,SSFA2,sperm specific antigen 2 [Source:HGNC Symbol;Acc:HGNC:11319]
