id,gene,description
cg00032852,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]
cg00043371,COG1,component of oligomeric golgi complex 1 [Source:HGNC Symbol;Acc:HGNC:6545]
cg00097573,LOC148709,NA
cg00455178,CYP2R1,cytochrome P450 family 2 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:20580]
cg00771653,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]
cg00791905,GFI1,growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237]
cg00841968,ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]
cg00906762,HLTF,helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099]
cg01029627,LRRK1,leucine rich repeat kinase 1 [Source:HGNC Symbol;Acc:HGNC:18608]
cg01119680,PMM1,phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]
cg01825058,SMARCD3,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]
cg03720887,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]
cg03843031,UBE2C,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
cg04009887,GRPEL2,GrpE like 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21060]
cg04552346,TCF7,transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]
cg04864179,IRF5,interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]
cg05432003,IFITM1,interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]
cg05465916,LOC284023,NA
cg05596664,TNIK,TRAF2 and NCK interacting kinase [Source:HGNC Symbol;Acc:HGNC:30765]
cg06046705,ANKRD50,ankyrin repeat domain 50 [Source:HGNC Symbol;Acc:HGNC:29223]
cg06156034,HNRPLL,NA
cg06911238,FAAH,fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]
cg07336097,NFKBIL2,NA
cg07537734,PDGFC,platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]
cg08106792,S100A6,S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]
cg08691775,NDRG1,N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
cg09162751,ZNF800,zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]
cg10162261,MAFF,MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]
cg10878170,CREBL2,cAMP responsive element binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:2350]
cg11343072,BAZ2B,bromodomain adjacent to zinc finger domain 2B [Source:HGNC Symbol;Acc:HGNC:963]
cg11928635,ZNF318,zinc finger protein 318 [Source:HGNC Symbol;Acc:HGNC:13578]
cg12685539,AMPD3,adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]
cg12897901,ST3GAL4,ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]
cg13977355,C9orf167,NA
cg13981356,IMPACT,impact RWD domain protein [Source:HGNC Symbol;Acc:HGNC:20387]
cg14064488,SNX10,sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]
cg15269226,PLXNB2,plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]
cg19040032,C8orf33,chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]
cg21211608,RAP1B,RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]
cg21682902,HAL,histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]
cg22843797,TNFRSF10A,TNF receptor superfamily member 10a [Source:HGNC Symbol;Acc:HGNC:11904]
cg24495008,KIF7,kinesin family member 7 [Source:HGNC Symbol;Acc:HGNC:30497]
cg25823214,MYEOV2,NA
cg26220336,FAM83D,family with sequence similarity 83 member D [Source:HGNC Symbol;Acc:HGNC:16122]
cg27150417,SNX21,sorting nexin family member 21 [Source:HGNC Symbol;Acc:HGNC:16154]
