id,gene,description
cg00040008,KLHL2,kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]
cg00308159,MN1,MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]
cg00314771,DCUN1D5,defective in cullin neddylation 1 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28409]
cg00422230,ITGAV,integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]
cg00819055,UGGT1,UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]
cg00999623,SLC25A24,solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]
cg01159004,B4GALT5,beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]
cg01409735,HDAC11,histone deacetylase 11 [Source:HGNC Symbol;Acc:HGNC:19086]
cg01657207,ZNF35,zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]
cg01687401,FAM110A,family with sequence similarity 110 member A [Source:HGNC Symbol;Acc:HGNC:16188]
cg01771416,NFKBIZ,NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]
cg01785046,MTERF,NA
cg01960259,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]
cg01986123,ARL4A,ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]
cg02268561,NMT2,N-myristoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7858]
cg02537105,RICH2,NA
cg02630129,NRIP1,nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]
cg02863476,RBBP8,RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]
cg03005121,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]
cg04036329,ULK2,unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]
cg04879861,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]
cg05108547,TAP2,transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]
cg05777492,C6orf153,NA
cg05806645,PPP1R3B,protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]
cg06191390,SFXN5,sideroflexin 5 [Source:HGNC Symbol;Acc:HGNC:16073]
cg06546607,PEPD,peptidase D [Source:HGNC Symbol;Acc:HGNC:8840]
cg06777352,ITPRIPL2,ITPRIP like 2 [Source:HGNC Symbol;Acc:HGNC:27257]
cg07112131,H2AFJ,H2A histone family member J [Source:HGNC Symbol;Acc:HGNC:14456]
cg07639694,KCTD11,potassium channel tetramerization domain containing 11 [Source:HGNC Symbol;Acc:HGNC:21302]
cg07737135,MUM1,melanoma associated antigen (mutated) 1 [Source:HGNC Symbol;Acc:HGNC:29641]
cg08095637,LRRC34,leucine rich repeat containing 34 [Source:HGNC Symbol;Acc:HGNC:28408]
cg08428707,CHMP4B,charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]
cg08601574,PYGB,glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723]
cg08727957,FOXP4,forkhead box P4 [Source:HGNC Symbol;Acc:HGNC:20842]
cg09322984,LRRC16A,NA
cg09767126,AZIN1,antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]
cg10348543,MOSPD3,motile sperm domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25078]
cg11393995,SERPINB1,serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]
cg11668079,MYL12B,myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]
cg13291394,USP46,ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]
cg13588599,SLC27A4,solute carrier family 27 member 4 [Source:HGNC Symbol;Acc:HGNC:10998]
cg14003794,LRRC3,leucine rich repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:14965]
cg14276242,ZNF594,zinc finger protein 594 [Source:HGNC Symbol;Acc:HGNC:29392]
cg14382259,GTF2I,general transcription factor IIi [Source:HGNC Symbol;Acc:HGNC:4659]
cg15712267,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]
cg16323609,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]
cg17090968,SLC38A1,solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]
cg17122244,SAPS2,NA
cg17329287,RNF220,ring finger protein 220 [Source:HGNC Symbol;Acc:HGNC:25552]
cg21539223,DCP2,decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]
cg22366350,PTGES3,prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]
cg23010258,TMEM14C,transmembrane protein 14C [Source:HGNC Symbol;Acc:HGNC:20952]
cg23034356,RAB1B,RAB1B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18370]
cg23081353,EEA1,early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]
cg23171628,C12orf75,chromosome 12 open reading frame 75 [Source:HGNC Symbol;Acc:HGNC:35164]
cg24362016,ZNF44,zinc finger protein 44 [Source:HGNC Symbol;Acc:HGNC:13110]
