id,gene,description
cg00085416,STAU2,staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11371]
cg00143527,MESDC1,NA
cg00231918,SH3BP2,SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]
cg00280163,ZNF622,zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]
cg00345314,SGK3,serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]
cg00592510,HIC1,HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]
cg00622682,FBXO7,F-box protein 7 [Source:HGNC Symbol;Acc:HGNC:13586]
cg00954566,SCD,stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]
cg00997424,PI4K2A,phosphatidylinositol 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:30031]
cg01089639,JAK3,Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]
cg01128109,LRRC8B,leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]
cg01128566,SVIL,supervillin [Source:HGNC Symbol;Acc:HGNC:11480]
cg01184560,ZSWIM6,zinc finger SWIM-type containing 6 [Source:HGNC Symbol;Acc:HGNC:29316]
cg01194538,CYB5R3,cytochrome b5 reductase 3 [Source:HGNC Symbol;Acc:HGNC:2873]
cg01346152,DHRS3,dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]
cg01366338,ALDH4A1,aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]
cg01376079,SSH3,slingshot protein phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:30581]
cg01794711,CNDP2,carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437]
cg01869219,AP1S3,adaptor related protein complex 1 sigma 3 subunit [Source:HGNC Symbol;Acc:HGNC:18971]
cg01891818,ICT1,NA
cg02028389,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]
cg02083989,GNS,glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]
cg02187196,PANK2,pantothenate kinase 2 [Source:HGNC Symbol;Acc:HGNC:15894]
cg02190873,PDIA4,protein disulfide isomerase family A member 4 [Source:HGNC Symbol;Acc:HGNC:30167]
cg02313172,AKT1,AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]
cg02614016,MINPP1,multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]
cg02628881,KIAA0355,KIAA0355 [Source:HGNC Symbol;Acc:HGNC:29016]
cg02659117,KIAA0232,KIAA0232 [Source:HGNC Symbol;Acc:HGNC:28992]
cg02829456,CFLAR,CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]
cg02880877,HDDC2,HD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21078]
cg02892925,TOX,thymocyte selection associated high mobility group box [Source:HGNC Symbol;Acc:HGNC:18988]
cg03117416,SLAIN1,SLAIN motif family member 1 [Source:HGNC Symbol;Acc:HGNC:26387]
cg03173570,SOD1,superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]
cg03203177,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087]
cg03429689,FAM174B,family with sequence similarity 174 member B [Source:HGNC Symbol;Acc:HGNC:34339]
cg03505866,KIAA0247,NA
cg03539850,PANK1,pantothenate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8598]
cg03550506,DEPDC5,DEP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:18423]
cg03785076,SNED1,sushi, nidogen and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:24696]
cg03847279,FGFRL1,fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]
cg04140974,RNF144B,ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]
cg04393391,FAM49B,family with sequence similarity 49 member B [Source:HGNC Symbol;Acc:HGNC:25216]
cg04802826,KIF3B,kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]
cg04822973,ARG2,arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]
cg04871875,SFRS13B,NA
cg04940109,BMPR2,bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]
cg04973418,NR2C1,nuclear receptor subfamily 2 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7971]
cg05592245,REEP3,receptor accessory protein 3 [Source:HGNC Symbol;Acc:HGNC:23711]
cg05654980,CNIH4,cornichon family AMPA receptor auxiliary protein 4 [Source:HGNC Symbol;Acc:HGNC:25013]
cg05899224,SEC11C,SEC11 homolog C, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:23400]
cg05927068,THEM4,thioesterase superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:17947]
cg06159340,CTF1,cardiotrophin 1 [Source:HGNC Symbol;Acc:HGNC:2499]
cg06686229,CUX1,cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]
cg06795635,PARP8,poly(ADP-ribose) polymerase family member 8 [Source:HGNC Symbol;Acc:HGNC:26124]
cg06823926,SNUPN,snurportin 1 [Source:HGNC Symbol;Acc:HGNC:14245]
cg06973760,NFATC1,nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]
cg07293947,SFXN1,sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085]
cg07450086,SELT,NA
cg08173915,IFNGR2,interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]
cg08672999,ZNF836,zinc finger protein 836 [Source:HGNC Symbol;Acc:HGNC:34333]
cg09114799,RAPGEF3,Rap guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:16629]
cg09182986,CAP1,cyclase associated actin cytoskeleton regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:20040]
cg09866366,ABCF3,ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72]
cg09916765,WRB,tryptophan rich basic protein [Source:HGNC Symbol;Acc:HGNC:12790]
cg09936037,TCEB2,NA
cg10453823,ANKAR,ankyrin and armadillo repeat containing [Source:HGNC Symbol;Acc:HGNC:26350]
cg10598034,ZNF701,zinc finger protein 701 [Source:HGNC Symbol;Acc:HGNC:25597]
cg10638118,TMBIM6,transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]
cg11015833,TMTC2,transmembrane and tetratricopeptide repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:25440]
cg11056045,PPIA,peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]
cg11359984,MYLK,myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]
cg11615439,CDC27,cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]
cg11736500,EIF4A1,eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]
cg11796345,EIF2B2,eukaryotic translation initiation factor 2B subunit beta [Source:HGNC Symbol;Acc:HGNC:3258]
cg12030690,SNCA,synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]
cg12047012,RGS2,regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]
cg12099051,SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]
cg12182284,CLTB,clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]
cg12349875,LSM5,LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]
cg12604162,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]
cg12657283,FYN,FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]
cg13209487,SRXN1,sulfiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:16132]
cg13948050,C10orf47,NA
cg13977427,TRIM27,tripartite motif containing 27 [Source:HGNC Symbol;Acc:HGNC:9975]
cg14051306,MIER3,MIER family member 3 [Source:HGNC Symbol;Acc:HGNC:26678]
cg14063809,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]
cg14126601,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]
cg14215464,SLC24A6,NA
cg14420245,ACVR2A,activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]
