id,gene,description
cg00051068,JAG1,jagged 1 [Source:HGNC Symbol;Acc:HGNC:6188]
cg00072369,MOCS2,molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193]
cg00082310,PLD1,phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]
cg00101715,FAM55C,NA
cg00185336,ABHD11,abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407]
cg00470766,PRICKLE1,prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]
cg00530720,DGKZ,diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]
cg00609948,NDFIP1,Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]
cg00618542,GLRX3,glutaredoxin 3 [Source:HGNC Symbol;Acc:HGNC:15987]
cg00620452,GPD1L,glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]
cg00704305,ECHDC1,ethylmalonyl-CoA decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:21489]
cg00751332,CABLES1,Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:HGNC:25097]
cg00804048,EIF5A,eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]
cg00852783,UBXN11,UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]
cg00950809,MOBKL2C,NA
cg00955482,ENOSF1,enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365]
cg01061877,KPTN,kaptin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:6404]
cg01106145,ANO10,anoctamin 10 [Source:HGNC Symbol;Acc:HGNC:25519]
cg01151821,FBXO32,F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]
cg01281718,SMAP1,small ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:19651]
cg01287476,C2orf65,NA
cg01493517,IFFO1,intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]
cg01535726,MSRA,methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377]
cg01620569,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]
cg01744217,C20orf108,NA
cg01777397,CLIP4,CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]
cg01782826,RCSD1,RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310]
cg01795562,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:17168]
cg01845091,ESR2,estrogen receptor 2 [Source:HGNC Symbol;Acc:HGNC:3468]
cg01866064,SEC23B,Sec23 homolog B, coat complex II component [Source:HGNC Symbol;Acc:HGNC:10702]
cg01892689,PGCP,NA
cg01972009,PITPNM1,phosphatidylinositol transfer protein membrane associated 1 [Source:HGNC Symbol;Acc:HGNC:9003]
cg02144516,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]
cg02203380,C7orf41,NA
cg02241241,ABCG1,ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]
cg02260839,ZNF765,zinc finger protein 765 [Source:HGNC Symbol;Acc:HGNC:25092]
cg02264038,RRAS2,RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]
