id,gene,description
cg01044662,C2orf3,NA
cg01777397,CLIP4,CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]
cg02885771,LTV1,LTV1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:21173]
cg03354519,ANXA5,annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]
cg04581377,SLC35F2,solute carrier family 35 member F2 [Source:HGNC Symbol;Acc:HGNC:23615]
cg05237543,MTDH,metadherin [Source:HGNC Symbol;Acc:HGNC:29608]
cg05365670,LPCAT1,lysophosphatidylcholine acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25718]
cg05564266,C6orf204,NA
cg06043114,TSPAN2,tetraspanin 2 [Source:HGNC Symbol;Acc:HGNC:20659]
cg06197006,CRK,CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]
cg06462291,NT5DC3,5'-nucleotidase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30826]
cg06738602,PTGER2,prostaglandin E receptor 2 [Source:HGNC Symbol;Acc:HGNC:9594]
cg07293947,SFXN1,sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085]
cg07660236,ZSCAN12,zinc finger and SCAN domain containing 12 [Source:HGNC Symbol;Acc:HGNC:13172]
cg07851243,MXRA7,matrix remodeling associated 7 [Source:HGNC Symbol;Acc:HGNC:7541]
cg08519905,CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
cg10061117,SORL1,sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]
cg11072113,VWCE,von Willebrand factor C and EGF domains [Source:HGNC Symbol;Acc:HGNC:26487]
cg12232274,LRP11,LDL receptor related protein 11 [Source:HGNC Symbol;Acc:HGNC:16936]
cg12291552,GOLIM4,golgi integral membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:15448]
cg12336540,RCSD1,RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310]
cg13473383,ZDHHC5,zinc finger DHHC-type containing 5 [Source:HGNC Symbol;Acc:HGNC:18472]
cg13539030,ARL4C,ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]
cg13676215,AHR,aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]
cg13849825,CCNB1,cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]
cg14759043,EFCAB4B,NA
cg15091337,POLE4,DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]
cg15423613,KCTD7,potassium channel tetramerization domain containing 7 [Source:HGNC Symbol;Acc:HGNC:21957]
cg15760943,ETV5,ETS variant 5 [Source:HGNC Symbol;Acc:HGNC:3494]
cg17210604,HIC1,HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]
cg17891123,IQGAP1,IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]
cg19764555,AHNAK,AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]
cg21152671,TRAF1,TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]
cg21633208,SH2B3,SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]
cg22190705,ASAP2,ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]
cg23639989,FAM105A,family with sequence similarity 105 member A [Source:HGNC Symbol;Acc:HGNC:25629]
cg25536676,DHCR24,24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]
cg26551843,RPS6KL1,ribosomal protein S6 kinase like 1 [Source:HGNC Symbol;Acc:HGNC:20222]
cg26611683,FOXO1,forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]
cg26817573,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1 [Source:HGNC Symbol;Acc:HGNC:4867]
cg27281093,USP18,ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]
