id,gene,description
cg00436301,NT5DC1,5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556]
cg00853068,FMNL1,formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]
cg00893242,SND1,staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]
cg02490034,MEST,mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]
cg03135598,SEPW1,NA
cg03583857,CD34,CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]
cg04044684,CHFR,checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]
cg04469686,HSD17B7,hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]
cg07160163,SYK,spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]
cg09514188,TOB1,transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]
cg10057295,STK24,serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]
cg12548454,PSAT1,phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]
cg14196790,SLC22A5,solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]
cg17122244,SAPS2,NA
cg18503260,CA13,carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]
cg20391984,CAMK2D,calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]
cg24215727,ABCD3,ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]
cg26357453,DHRS7B,dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]
