id,gene,description
cg00524288,UPP1,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]
cg00986320,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]
cg01346152,DHRS3,dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]
cg01657207,ZNF35,zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]
cg01820777,MICALL2,MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
cg03042149,PDE8A,phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]
cg03876622,CSDA,NA
cg03922337,RRAS2,RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]
cg04269351,VTI1B,vesicle transport through interaction with t-SNAREs 1B [Source:HGNC Symbol;Acc:HGNC:17793]
cg04531710,EIF4G1,eukaryotic translation initiation factor 4 gamma 1 [Source:HGNC Symbol;Acc:HGNC:3296]
cg06778853,PHF13,PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]
cg08146221,PTMS,parathymosin [Source:HGNC Symbol;Acc:HGNC:9629]
cg08428707,CHMP4B,charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]
cg08996521,CISH,cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]
cg09239756,CKAP4,cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]
cg10287137,P2RY2,purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]
cg11800672,SLC39A4,solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]
cg12489960,SGCB,sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]
cg13170032,HLX,H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]
cg15879316,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]
cg17054360,MTERF,NA
cg18108623,SLFN11,schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633]
cg19653161,RGS10,regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]
cg20684549,LPPR3,NA
cg23435746,TWSG1,twisted gastrulation BMP signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:12429]
cg24642820,NUP210,nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]
