id,gene,description
cg00164898,MAPK11,mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]
cg02668984,PDK2,pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]
cg04803153,ZNF790,zinc finger protein 790 [Source:HGNC Symbol;Acc:HGNC:33114]
cg08998501,ZNF615,zinc finger protein 615 [Source:HGNC Symbol;Acc:HGNC:24740]
cg11007423,SPPL2A,signal peptide peptidase like 2A [Source:HGNC Symbol;Acc:HGNC:30227]
cg11108432,PINX1,PIN2/TERF1 interacting telomerase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30046]
cg14159818,C20orf27,chromosome 20 open reading frame 27 [Source:HGNC Symbol;Acc:HGNC:15873]
cg23738770,NFKB2,nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]
cg24250393,PRKCB,protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]
cg25167447,NAV1,neuron navigator 1 [Source:HGNC Symbol;Acc:HGNC:15989]
cg26530341,TNFRSF10A,TNF receptor superfamily member 10a [Source:HGNC Symbol;Acc:HGNC:11904]
