id,gene,description
cg01025762,DLD,dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]
cg03138405,GLT25D1,NA
cg06409153,ABCA5,ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]
cg06546607,PEPD,peptidase D [Source:HGNC Symbol;Acc:HGNC:8840]
cg14607011,C10orf125,NA
cg15032239,CYFIP1,cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]
cg15683488,ZFYVE9,zinc finger FYVE-type containing 9 [Source:HGNC Symbol;Acc:HGNC:6775]
cg15774495,GRB10,growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]
cg20091959,L3MBTL,NA
cg20645649,RPL35,ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]
cg23434459,BCAP29,B cell receptor associated protein 29 [Source:HGNC Symbol;Acc:HGNC:24131]
cg23591853,IFT172,intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]
cg26271255,ARHGAP12,Rho GTPase activating protein 12 [Source:HGNC Symbol;Acc:HGNC:16348]
