id,gene,description
cg01245656,ASNS,asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]
cg01333131,CDC42BPB,CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738]
cg02564523,ORAI2,ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:HGNC:21667]
cg04384398,PMM1,phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]
cg06284244,YES1,YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]
cg07685869,KIFC3,kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]
cg09593286,SQRDL,NA
cg11263497,WDR35,WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]
cg13682722,C14orf102,NA
cg15537850,NAPRT1,NA
cg15974062,COPS7A,COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:HGNC:16758]
cg16019273,EIF2C4,NA
cg19038228,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716]
cg21048501,MRPS24,mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:14510]
cg21250978,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]
cg24476569,ABCC4,ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]
cg24687335,SLC37A4,solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]
cg25160554,ARL6,ADP ribosylation factor like GTPase 6 [Source:HGNC Symbol;Acc:HGNC:13210]
cg26968812,TPM4,tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]
cg27014642,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]
cg27613076,INPP5F,inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]
