id,gene,description
cg00954566,SCD,stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]
cg02930996,B4GALT6,beta-1,4-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:929]
cg02983451,KLF11,Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]
cg04051458,THBS1,thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]
cg06466797,HERPUD2,HERPUD family member 2 [Source:HGNC Symbol;Acc:HGNC:21915]
cg06618866,TLR2,toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]
cg09990086,TACC1,transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]
cg11935638,EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]
cg12167239,SLC25A1,solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]
cg12717668,ZNF655,zinc finger protein 655 [Source:HGNC Symbol;Acc:HGNC:30899]
cg13108328,PLEKHA5,pleckstrin homology domain containing A5 [Source:HGNC Symbol;Acc:HGNC:30036]
cg13612524,ERLIN2,ER lipid raft associated 2 [Source:HGNC Symbol;Acc:HGNC:1356]
cg14076411,RNGTT,RNA guanylyltransferase and 5'-phosphatase [Source:HGNC Symbol;Acc:HGNC:10073]
cg14325649,RBMS1,RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]
cg14658362,RBPMS,RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]
cg14706739,EPB49,NA
cg14764661,MRC2,mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]
cg15321211,HNRNPF,heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]
cg15444978,MARK3,microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]
cg16378421,ABCC5,ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]
cg16474696,MRI1,methylthioribose-1-phosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:28469]
cg16858125,ELOVL1,ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]
cg19569684,MGC29506,NA
cg20937139,PDGFC,platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]
cg21091679,ELL2,elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]
cg21742836,PPP4C,protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]
cg22876908,DGKA,diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]
cg23835812,CHMP2B,charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]
cg26869604,LRRC20,leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]
cg26979339,RIC8B,RIC8 guanine nucleotide exchange factor B [Source:HGNC Symbol;Acc:HGNC:25555]
