id,gene,description
cg02186966,BET1,Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]
cg04058169,BUB3,BUB3, mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]
cg04848452,EIF1B,eukaryotic translation initiation factor 1B [Source:HGNC Symbol;Acc:HGNC:30792]
cg05469695,CDC42EP3,CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943]
cg05662500,GPD1L,glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]
cg05674199,AHCY,adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]
cg07086380,TNFAIP8,TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]
cg07473175,AMIGO2,adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]
cg09259772,ARL4A,ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]
cg09667226,KLF5,Kruppel like factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]
cg15712267,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]
cg16330965,SNAPC5,small nuclear RNA activating complex polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:15484]
cg16362133,SLC11A2,solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]
cg16961218,ATP9B,ATPase phospholipid transporting 9B (putative) [Source:HGNC Symbol;Acc:HGNC:13541]
cg17021265,CD2AP,CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]
cg17808849,HERPUD1,homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]
cg19779211,KCNQ1,potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]
cg20468883,BNIP2,BCL2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1083]
cg21578207,RNF220,ring finger protein 220 [Source:HGNC Symbol;Acc:HGNC:25552]
cg21682902,HAL,histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]
cg22532997,LRRC16A,NA
cg23265096,CTSZ,cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]
cg26179948,JAZF1,JAZF zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:28917]
